NetC;Brindisi;;;;
Stat;Torchiarolo-Via Fanin;;;;
Parm;SO2;NO2;NOX;PM10;PM2.5
;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;ug/m3
;;;;;
;;;;;
01/01/20 01:00;1,78;9,90;11,90;;15,28
01/01/20 02:00;1,32;7,35;8,70;18,56;17,43
01/01/20 03:00;1,77;5,86;6,99;;13,73
01/01/20 04:00;1,76;5,46;6,42;24,91;11,41
01/01/20 05:00;1,17;5,51;6,76;;13,08
01/01/20 06:00;1,47;6,25;7,35;20,27;13,87
01/01/20 07:00;2,04;4,94;5,30;;13,15
01/01/20 08:00;1,86;4,67;5,84;17,83;11,41
01/01/20 09:00;1,91;4,97;6,37;;8,85
01/01/20 10:00;2,21;4,01;5,63;15,63;8,78
01/01/20 11:00;3,08;2,09;3,57;;7,32
01/01/20 12:00;3,34;1,81;3,13;12,21;3,95
01/01/20 13:00;2,70;1,91;2,90;;10,74
01/01/20 14:00;4,20;1,65;2,80;12,21;10,36
01/01/20 15:00;4,43;1,23;2,16;;6,68
01/01/20 16:00;4,24;1,20;2,46;15,14;5,63
01/01/20 17:00;4,30;1,85;2,58;;5,30
01/01/20 18:00;3,76;2,95;4,37;11,97;6,47
01/01/20 19:00;3,65;3,30;4,73;;10,15
01/01/20 20:00;3,82;2,60;3,44;15,38;9,35
01/01/20 21:00;3,61;2,29;3,44;;7,23
01/01/20 22:00;3,28;2,05;2,95;15,14;8,59
01/01/20 23:00;3,34;1,98;2,97;;9,69
01/02/20 00:00;2,61;2,16;3,38;11,97;8,76
01/02/20 01:00;;2,16;3,19;;8,29
01/02/20 02:00;1,85;1,62;2,48;15,63;6,20
01/02/20 03:00;2,80;;;;8,14
01/02/20 04:00;2,87;1,91;2,64;19,29;9,53
01/02/20 05:00;3,07;2,25;3,15;;8,66
01/02/20 06:00;2,82;1,76;2,36;19,05;9,27
01/02/20 07:00;2,87;2,40;3,22;;8,35
01/02/20 08:00;3,11;1,56;2,52;16,36;8,27
01/02/20 09:00;2,78;2,49;3,82;;9,81
01/02/20 10:00;2,64;2,26;3,68;17,83;9,78
01/02/20 11:00;2,45;2,29;3,56;;6,85
01/02/20 12:00;2,74;1,44;2,32;21,49;8,22
01/02/20 13:00;2,66;1,76;3,00;;8,03
01/02/20 14:00;3,24;1,41;2,56;15,38;6,17
01/02/20 15:00;3,23;1,70;3,02;;6,99
01/02/20 16:00;2,67;2,28;3,96;14,90;7,86
01/02/20 17:00;2,39;9,21;12,48;;13,11
01/02/20 18:00;1,76;11,82;15,19;14,16;13,34
01/02/20 19:00;1,23;11,97;14,26;;8,76
01/02/20 20:00;1,45;37,95;41,58;18,56;9,53
01/02/20 21:00;1,23;21,70;24,28;;11,54
01/02/20 22:00;1,69;12,25;14,41;17,58;8,84
01/02/20 23:00;1,85;9,45;11,77;;15,40
01/03/20 00:00;2,30;6,42;7,77;9,77;6,29
01/03/20 01:00;1,76;17,23;19,13;;2,89
01/03/20 02:00;1,30;12,50;14,14;10,99;5,33
01/03/20 03:00;1,64;10,92;12,97;;7,06
01/03/20 04:00;1,76;8,89;10,51;14,41;8,28
01/03/20 05:00;1,77;10,51;12,35;;11,87
01/03/20 06:00;1,56;7,61;8,81;13,92;10,85
01/03/20 07:00;1,52;8,44;9,60;;9,07
01/03/20 08:00;1,95;12,77;14,19;11,48;8,05
01/03/20 09:00;1,76;14,64;17,81;;8,68
01/03/20 10:00;1,65;11,35;14,84;7,33;15,57
01/03/20 11:00;1,82;7,95;10,75;;14,30
01/03/20 12:00;1,53;7,25;9,97;13,43;14,50
01/03/20 13:00;1,85;8,23;10,65;;13,96
01/03/20 14:00;2,12;7,67;9,95;16,85;12,74
01/03/20 15:00;2,14;5,96;7,57;;12,75
01/03/20 16:00;2,27;8,17;9,98;19,05;10,73
01/03/20 17:00;2,11;11,27;13,51;;11,83
01/03/20 18:00;2,09;14,41;16,73;18,56;15,06
01/03/20 19:00;1,35;10,81;13,62;;16,79
01/03/20 20:00;0,99;21,98;25,08;17,34;22,08
01/03/20 21:00;2,16;27,85;31,46;;20,56
01/03/20 22:00;1,85;29,02;33,29;21,98;21,18
01/03/20 23:00;0,79;31,99;37,28;;25,25
01/04/20 00:00;1,60;27,83;33,29;27,35;41,05
01/04/20 01:00;;20,75;24,83;;40,69
01/04/20 02:00;1,60;15,96;19,08;31,26;30,43
01/04/20 03:00;2,00;;;;26,01
01/04/20 04:00;2,10;12,42;14,41;35,65;19,83
01/04/20 05:00;2,79;19,61;22,56;;22,91
01/04/20 06:00;2,08;21,73;25,19;24,42;22,69
01/04/20 07:00;2,15;18,04;20,61;;22,15
01/04/20 08:00;2,18;29,25;35,32;27,84;24,33
01/04/20 09:00;2,42;20,11;24,89;;26,14
01/04/20 10:00;2,79;13,84;17,55;28,33;28,06
01/04/20 11:00;2,46;10,57;13,52;;22,37
01/04/20 12:00;2,80;7,66;9,78;27,11;20,10
01/04/20 13:00;0,82;6,23;8,42;;15,35
01/04/20 14:00;1,75;6,07;7,68;20,27;15,74
01/04/20 15:00;3,01;7,66;9,44;;14,87
01/04/20 16:00;2,62;10,14;12,13;11,23;13,98
01/04/20 17:00;2,78;11,94;13,42;;13,46
01/04/20 18:00;2,71;22,84;25,33;18,56;11,51
01/04/20 19:00;2,76;23,23;25,86;;15,24
01/04/20 20:00;2,71;20,41;22,92;17,58;21,15
01/04/20 21:00;2,83;19,88;22,24;;22,95
01/04/20 22:00;3,08;15,58;17,69;20,27;23,57
01/04/20 23:00;2,96;16,07;18,49;;24,28
01/05/20 00:00;3,55;12,52;14,27;28,33;23,86
01/05/20 01:00;3,44;10,21;11,77;;16,76
01/05/20 02:00;3,23;9,36;11,23;18,80;11,61
01/05/20 03:00;3,31;6,56;7,60;;8,85
01/05/20 04:00;3,30;7,04;8,36;16,36;7,13
01/05/20 05:00;3,70;7,67;8,95;;10,44
01/05/20 06:00;4,07;8,04;9,57;21,98;12,64
01/05/20 07:00;4,06;3,12;3,87;;11,00
01/05/20 08:00;4,46;5,01;6,49;11,72;14,13
01/05/20 09:00;5,47;3,72;5,02;;14,53
01/05/20 10:00;5,26;1,85;3,18;15,87;9,37
01/05/20 11:00;5,41;2,34;4,11;;3,88
01/05/20 12:00;6,25;3,04;4,89;8,79;3,21
01/05/20 13:00;6,44;3,51;5,42;;4,91
01/05/20 14:00;3,74;1,61;3,23;5,37;13,53
01/05/20 15:00;3,27;1,24;2,23;;13,74
01/05/20 16:00;2,91;;;10,26;17,28
01/05/20 17:00;5,76;3,72;4,76;;6,52
01/05/20 18:00;4,27;2,66;3,82;16,36;6,52
01/05/20 19:00;3,84;1,25;2,27;;10,78
01/05/20 20:00;3,68;;;11,23;7,41
01/05/20 21:00;3,55;;;;4,89
01/05/20 22:00;3,50;;;8,79;7,88
01/05/20 23:00;4,02;;;;24,30
01/06/20 00:00;4,31;;;11,72;13,21
01/06/20 01:00;;1,08;2,10;;13,86
01/06/20 02:00;3,26;;;10,74;15,99
01/06/20 03:00;2,42;;;;15,95
01/06/20 04:00;2,44;;;12,70;11,00
01/06/20 05:00;2,22;;;;7,47
01/06/20 06:00;2,12;;;12,94;4,85
01/06/20 07:00;2,37;;;;2,64
01/06/20 08:00;2,08;;;10,26;2,97
01/06/20 09:00;2,33;;;;3,16
01/06/20 10:00;1,72;;;14,16;2,45
01/06/20 11:00;2,22;;;;3,59
01/06/20 12:00;2,07;;;7,81;5,21
01/06/20 13:00;1,93;;;;4,95
01/06/20 14:00;2,48;;;9,52;3,97
01/06/20 15:00;2,82;;;;4,08
01/06/20 16:00;2,70;;;7,57;6,13
01/06/20 17:00;2,52;;;;5,29
01/06/20 18:00;3,04;1,05;1,94;4,40;2,91
01/06/20 19:00;3,21;1,58;3,02;;3,17
01/06/20 20:00;2,35;1,12;2,07;6,35;2,65
01/06/20 21:00;2,10;1,31;2,28;;4,47
01/06/20 22:00;2,28;1,13;2,00;12,94;6,15
01/06/20 23:00;2,51;1,08;1,91;;6,03
01/07/20 00:00;2,33;;;7,81;5,61
01/07/20 01:00;2,21;;;;7,35
01/07/20 02:00;2,12;1,01;1,75;10,26;5,65
01/07/20 03:00;1,94;;;;2,49
01/07/20 04:00;2,00;;;13,19;3,49
01/07/20 05:00;2,00;;;;3,51
01/07/20 06:00;2,20;;;9,28;3,13
01/07/20 07:00;2,06;;;;5,15
01/07/20 08:00;1,81;1,23;2,11;16,12;7,56
01/07/20 09:00;2,62;1,96;2,90;;6,20
01/07/20 10:00;1,78;1,36;2,76;8,79;5,65
01/07/20 11:00;1,25;1,04;2,25;;5,63
01/07/20 12:00;2,63;1,51;3,23;7,81;4,27
01/07/20 13:00;2,44;1,76;3,51;;3,67
01/07/20 14:00;2,21;1,48;2,56;14,65;2,67
01/07/20 15:00;2,20;1,67;2,80;;2,36
01/07/20 16:00;2,31;3,61;5,56;10,50;2,86
01/07/20 17:00;2,88;6,83;9,27;;6,77
01/07/20 18:00;2,28;17,83;19,52;6,35;8,17
01/07/20 19:00;2,27;40,52;44,45;;7,36
01/07/20 20:00;2,09;14,58;18,21;10,99;6,43
01/07/20 21:00;2,21;8,27;10,37;;5,74
01/07/20 22:00;2,05;9,73;11,54;11,97;5,56
01/07/20 23:00;1,99;37,65;50,59;;3,90
01/08/20 00:00;1,88;30,82;38,13;11,72;1,03
01/08/20 01:00;;13,71;15,72;;2,44
01/08/20 02:00;2,13;7,92;9,30;15,14;5,91
01/08/20 03:00;2,55;;;;4,38
01/08/20 04:00;2,10;4,04;5,24;8,79;4,93
01/08/20 05:00;2,15;2,31;3,11;;6,24
01/08/20 06:00;2,44;2,11;2,89;7,57;4,81
01/08/20 07:00;2,30;2,29;3,01;;2,95
01/08/20 08:00;2,10;2,96;3,91;12,70;1,83
01/08/20 09:00;1,80;2,83;3,90;;2,61
01/08/20 10:00;2,89;2,28;3,49;13,43;3,89
01/08/20 11:00;2,21;2,09;3,41;;5,13
01/08/20 12:00;2,31;1,90;3,32;16,61;3,07
01/08/20 13:00;2,94;2,65;4,06;;1,22
01/08/20 14:00;3,98;2,16;3,73;8,30;4,41
01/08/20 15:00;4,01;2,99;4,61;;4,12
01/08/20 16:00;3,89;3,62;5,22;10,26;1,03
01/08/20 17:00;3,36;6,48;7,99;;2,67
01/08/20 18:00;3,14;5,67;7,19;9,52;4,59
01/08/20 19:00;2,31;9,54;11,89;;6,33
01/08/20 20:00;1,81;54,50;74,58;19,78;6,06
01/08/20 21:00;1,35;57,43;104,47;;8,19
01/08/20 22:00;1,40;48,24;69,91;15,87;14,41
01/08/20 23:00;1,59;45,37;75,21;;26,71
01/09/20 00:00;1,35;20,42;24,93;17,83;34,42
01/09/20 01:00;1,23;15,23;17,25;;23,90
01/09/20 02:00;1,18;14,52;16,69;27,59;22,78
01/09/20 03:00;1,13;15,11;17,12;;19,56
01/09/20 04:00;1,34;12,19;13,95;33,94;17,45
01/09/20 05:00;1,39;13,27;15,33;;12,21
01/09/20 06:00;1,27;14,19;16,21;26,37;7,92
01/09/20 07:00;1,56;21,44;24,13;;9,32
01/09/20 08:00;1,53;24,45;28,33;13,92;11,84
01/09/20 09:00;1,73;27,87;36,66;;12,75
01/09/20 10:00;1,08;17,27;23,05;18,56;13,06
01/09/20 11:00;1,64;14,69;19,59;;12,95
01/09/20 12:00;1,64;12,29;15,78;20,76;16,55
01/09/20 13:00;1,57;10,85;14,24;;13,23
01/09/20 14:00;1,95;9,87;12,16;15,63;11,74
01/09/20 15:00;2,09;11,79;14,79;;17,99
01/09/20 16:00;2,22;8,43;10,56;16,85;14,03
01/09/20 17:00;1,67;11,31;13,36;;12,56
01/09/20 18:00;1,81;25,03;27,56;16,12;16,54
01/09/20 19:00;1,76;26,51;29,45;;13,13
01/09/20 20:00;1,77;19,18;21,35;25,40;20,97
01/09/20 21:00;1,85;22,23;24,78;;18,21
01/09/20 22:00;2,06;26,48;29,30;22,95;20,33
01/09/20 23:00;1,58;40,35;47,53;;25,51
01/10/20 00:00;1,98;38,35;50,20;26,13;35,86
01/10/20 01:00;;33,97;62,78;;47,30
01/10/20 02:00;1,67;30,78;56,08;35,90;51,82
01/10/20 03:00;2,02;;;;49,07
01/10/20 04:00;2,27;25,07;83,73;42,25;43,53
01/10/20 05:00;2,58;26,11;108,14;;34,64
01/10/20 06:00;2,31;28,50;120,95;46,64;28,21
01/10/20 07:00;2,36;33,49;113,77;;26,42
01/10/20 08:00;2,02;39,98;151,89;38,34;28,01
01/10/20 09:00;2,36;52,07;185,58;;30,86
01/10/20 10:00;2,01;35,77;62,92;35,90;33,89
01/10/20 11:00;2,09;14,04;17,91;;18,67
01/10/20 12:00;2,80;12,58;15,58;42,25;15,02
01/10/20 13:00;3,28;12,76;16,13;;13,03
01/10/20 14:00;2,56;7,69;9,59;22,47;10,19
01/10/20 15:00;2,52;5,81;7,34;;11,43
01/10/20 16:00;2,58;7,23;9,14;15,87;14,29
01/10/20 17:00;2,18;11,19;13,14;;14,90
01/10/20 18:00;2,47;35,91;50,37;13,19;12,23
01/10/20 19:00;2,61;65,21;90,18;;18,40
01/10/20 20:00;2,50;30,24;34,57;22,95;33,12
01/10/20 21:00;2,29;23,53;25,95;;27,68
01/10/20 22:00;1,52;22,14;24,49;29,55;28,91
01/10/20 23:00;2,57;21,03;23,66;;36,03
01/11/20 00:00;2,17;21,80;24,48;36,14;44,92
01/11/20 01:00;2,35;16,59;19,13;;44,04
01/11/20 02:00;2,34;14,24;16,31;41,03;41,92
01/11/20 03:00;2,54;12,74;14,53;;36,15
01/11/20 04:00;2,24;12,25;14,60;42,74;27,80
01/11/20 05:00;2,43;13,08;15,30;;24,89
01/11/20 06:00;2,10;10,70;12,04;36,87;25,19
01/11/20 07:00;2,67;11,85;13,23;;20,69
01/11/20 08:00;2,49;12,46;13,90;28,82;16,93
01/11/20 09:00;2,39;14,11;16,24;;18,68
01/11/20 10:00;2,26;16,23;19,65;26,13;18,46
01/11/20 11:00;1,93;11,85;14,17;;20,00
01/11/20 12:00;2,50;11,90;14,77;16,36;19,27
01/11/20 13:00;2,53;11,60;13,95;;15,29
01/11/20 14:00;2,46;9,80;12,33;13,68;13,77
01/11/20 15:00;2,16;7,35;8,85;;12,34
01/11/20 16:00;2,48;8,42;9,88;11,97;12,24
01/11/20 17:00;2,60;9,90;11,79;;10,29
01/11/20 18:00;2,70;11,30;12,72;18,07;9,59
01/11/20 19:00;2,25;16,16;18,15;;8,94
01/11/20 20:00;2,48;16,07;17,80;16,85;13,26
01/11/20 21:00;2,67;14,92;16,75;;14,79
01/11/20 22:00;2,70;16,51;18,92;17,34;18,27
01/11/20 23:00;2,77;18,31;20,90;;23,68
01/12/20 00:00;2,79;18,62;20,96;21,49;20,90
01/12/20 01:00;;18,22;20,85;;17,02
01/12/20 02:00;1,79;23,61;26,37;23,20;13,55
01/12/20 03:00;2,25;;;;18,12
01/12/20 04:00;2,45;29,18;35,28;22,47;24,39
01/12/20 05:00;2,32;29,56;47,93;;22,12
01/12/20 06:00;1,93;26,26;55,04;21,00;19,99
01/12/20 07:00;1,76;25,80;43,21;;15,45
01/12/20 08:00;2,31;20,80;26,53;23,69;20,57
01/12/20 09:00;2,31;30,69;55,29;;18,25
01/12/20 10:00;2,66;10,24;13,84;23,69;24,31
01/12/20 11:00;2,64;6,14;8,02;;27,18
01/12/20 12:00;2,65;6,38;8,45;29,30;22,46
01/12/20 13:00;3,78;4,71;6,51;;14,36
01/12/20 14:00;3,80;7,74;10,58;27,11;10,71
01/12/20 15:00;3,77;6,20;7,83;;8,97
01/12/20 16:00;3,08;4,98;6,40;21,00;9,90
01/12/20 17:00;2,41;7,35;9,29;;11,73
01/12/20 18:00;2,64;11,58;14,82;16,85;16,34
01/12/20 19:00;2,15;16,04;19,59;;25,53
01/12/20 20:00;1,90;14,61;17,85;23,20;36,45
01/12/20 21:00;1,82;12,40;15,36;;20,22
01/12/20 22:00;2,50;20,89;23,52;24,66;7,54
01/12/20 23:00;2,37;18,42;21,67;;11,25
13/01/2020 00:00;2,66;20,10;24,04;20,76;19,92
13/01/2020 01:00;2,37;20,35;24,49;;
13/01/2020 02:00;2,29;14,69;18,49;19,78;
13/01/2020 03:00;2,61;7,05;8,96;;
13/01/2020 04:00;2,84;8,05;9,89;18,80;
13/01/2020 05:00;2,07;9,38;11,61;;
13/01/2020 06:00;2,43;24,22;47,30;13,68;
13/01/2020 07:00;2,33;25,59;34,58;;
13/01/2020 08:00;2,54;30,17;36,30;10,74;
13/01/2020 09:00;2,70;26,01;32,47;;
13/01/2020 10:00;2,82;25,80;35,36;10,74;
13/01/2020 11:00;2,78;17,93;26,38;;
13/01/2020 12:00;3,06;9,83;14,47;22,47;
13/01/2020 13:00;3,20;10,33;12,99;;
13/01/2020 14:00;2,79;14,05;17,75;11,97;
13/01/2020 15:00;3,46;7,05;9,41;;
13/01/2020 16:00;3,59;6,96;9,44;22,22;
13/01/2020 17:00;3,00;9,40;12,43;;
13/01/2020 18:00;2,79;14,26;17,77;13,92;
13/01/2020 19:00;2,94;47,08;112,26;;
13/01/2020 20:00;2,25;41,20;93,65;16,36;
13/01/2020 21:00;2,54;41,62;142,63;;
13/01/2020 22:00;3,10;33,74;123,63;23,69;
13/01/2020 23:00;3,26;28,43;100,87;;
14/01/2020 00:00;3,43;27,94;80,92;31,75;
14/01/2020 01:00;;25,08;60,87;;70,90
14/01/2020 02:00;2,75;21,79;57,15;50,79;59,44
14/01/2020 03:00;2,52;;;;51,53
14/01/2020 04:00;2,69;24,50;40,12;58,12;39,25
14/01/2020 05:00;2,44;26,82;45,37;;30,91
14/01/2020 06:00;2,74;24,92;41,32;54,21;29,18
14/01/2020 07:00;2,48;29,34;71,78;;27,41
14/01/2020 08:00;2,27;31,57;122,06;41,51;28,84
14/01/2020 09:00;2,63;38,42;157,98;;32,65
14/01/2020 10:00;2,97;30,80;80,87;32,97;34,27
14/01/2020 11:00;2,94;17,77;27,46;;28,58
14/01/2020 12:00;3,14;11,52;15,89;41,27;12,62
14/01/2020 13:00;3,18;15,62;20,99;;14,60
14/01/2020 14:00;4,19;7,64;9,96;21,73;12,80
14/01/2020 15:00;4,45;6,21;8,24;;10,41
14/01/2020 16:00;3,78;7,35;9,07;18,32;15,21
14/01/2020 17:00;2,57;15,15;18,45;;16,42
14/01/2020 18:00;2,87;23,03;28,38;17,58;31,86
14/01/2020 19:00;2,63;39,38;83,89;;35,90
14/01/2020 20:00;2,58;45,35;124,56;28,08;38,26
14/01/2020 21:00;3,04;40,16;142,48;;35,08
14/01/2020 22:00;2,93;32,57;132,60;31,75;49,40
14/01/2020 23:00;3,11;30,82;129,55;;50,47
15/01/2020 00:00;2,97;26,79;94,05;39,80;47,23
15/01/2020 01:00;2,76;30,48;62,61;;49,88
15/01/2020 02:00;3,16;22,06;27,14;49,82;48,85
15/01/2020 03:00;2,73;16,30;18,93;;43,45
15/01/2020 04:00;2,97;15,84;18,08;51,77;35,10
15/01/2020 05:00;2,95;16,66;18,65;;29,64
15/01/2020 06:00;2,98;14,30;16,24;40,05;30,76
15/01/2020 07:00;2,37;17,04;19,39;;28,40
15/01/2020 08:00;2,53;35,93;40,90;35,90;26,62
15/01/2020 09:00;2,61;22,80;28,26;;25,84
15/01/2020 10:00;3,02;22,30;30,00;34,19;22,13
15/01/2020 11:00;3,13;17,35;24,40;;37,26
15/01/2020 12:00;3,40;14,01;19,15;38,83;29,24
15/01/2020 13:00;3,55;10,70;13,97;;24,18
15/01/2020 14:00;3,22;11,87;15,18;29,55;21,82
15/01/2020 15:00;3,28;13,14;16,66;;20,50
15/01/2020 16:00;3,38;11,74;14,66;24,91;22,01
15/01/2020 17:00;2,56;10,81;13,30;;12,81
15/01/2020 18:00;2,84;22,56;25,32;25,64;10,82
15/01/2020 19:00;3,23;45,45;50,06;;15,31
15/01/2020 20:00;3,16;46,69;56,41;23,20;16,82
15/01/2020 21:00;3,02;30,04;34,50;;20,30
15/01/2020 22:00;3,24;20,75;23,50;26,86;22,24
15/01/2020 23:00;3,24;22,21;25,15;;26,86
16/01/2020 00:00;3,23;16,95;19,53;26,62;23,81
16/01/2020 01:00;;15,27;17,45;;19,81
16/01/2020 02:00;1,83;14,10;16,49;24,18;19,61
16/01/2020 03:00;2,25;;;;21,91
16/01/2020 04:00;1,62;13,02;14,85;20,27;20,36
16/01/2020 05:00;1,88;11,11;12,91;;18,59
16/01/2020 06:00;1,81;11,14;12,65;22,47;18,36
16/01/2020 07:00;1,99;12,14;13,53;;18,97
16/01/2020 08:00;1,81;16,21;18,22;21,73;20,30
16/01/2020 09:00;1,56;16,44;19,83;;20,41
16/01/2020 10:00;1,51;15,02;20,15;21,00;13,45
16/01/2020 11:00;1,30;11,94;15,21;;9,69
16/01/2020 12:00;2,41;8,75;11,52;20,02;9,89
16/01/2020 13:00;2,19;9,31;11,90;;7,64
16/01/2020 14:00;0,95;6,34;8,10;11,48;13,97
16/01/2020 15:00;1,95;5,75;7,52;;14,89
16/01/2020 16:00;2,42;5,97;7,77;11,72;11,01
16/01/2020 17:00;2,28;6,94;8,79;;9,79
16/01/2020 18:00;2,49;6,83;8,20;15,63;9,59
16/01/2020 19:00;2,27;7,96;9,44;;7,65
16/01/2020 20:00;2,22;8,39;10,79;18,07;10,41
16/01/2020 21:00;2,07;5,88;7,10;;14,29
16/01/2020 22:00;2,06;6,52;8,08;18,07;13,87
16/01/2020 23:00;2,33;6,02;7,09;;14,30
17/01/2020 00:00;2,61;8,00;8,78;17,09;15,37
17/01/2020 01:00;2,37;12,20;13,76;;17,65
17/01/2020 02:00;2,19;12,90;14,66;18,56;19,66
17/01/2020 03:00;2,21;12,78;14,41;;28,98
17/01/2020 04:00;1,82;12,89;14,27;25,40;34,37
17/01/2020 05:00;2,53;13,27;15,12;;38,75
17/01/2020 06:00;2,68;14,08;15,91;40,29;37,08
17/01/2020 07:00;2,59;14,11;16,18;;31,93
17/01/2020 08:00;2,26;20,19;22,42;42,00;34,17
17/01/2020 09:00;2,38;19,05;22,68;;38,17
17/01/2020 10:00;1,99;14,67;18,66;38,10;34,67
17/01/2020 11:00;2,59;14,39;18,44;;30,77
17/01/2020 12:00;2,20;13,39;17,45;40,29;33,86
17/01/2020 13:00;2,22;13,52;17,42;;29,89
17/01/2020 14:00;2,43;15,09;19,04;34,68;28,76
17/01/2020 15:00;2,89;12,01;14,60;;28,49
17/01/2020 16:00;2,16;12,58;14,63;31,50;22,02
17/01/2020 17:00;2,53;15,88;18,09;;23,09
17/01/2020 18:00;2,23;28,24;31,92;38,34;28,15
17/01/2020 19:00;2,58;41,88;45,18;;32,13
17/01/2020 20:00;2,64;36,72;40,18;42,00;36,21
17/01/2020 21:00;2,12;26,95;29,80;;35,79
17/01/2020 22:00;2,34;24,40;27,00;42,00;45,28
17/01/2020 23:00;2,23;23,80;26,70;;53,34
18/01/2020 00:00;2,60;18,87;21,08;47,86;49,06
18/01/2020 01:00;;18,55;20,48;;
18/01/2020 02:00;2,24;27,49;30,39;46,64;
18/01/2020 03:00;2,09;;;;
18/01/2020 04:00;1,78;24,32;27,28;40,05;
18/01/2020 05:00;2,13;39,19;47,13;;
18/01/2020 06:00;2,23;33,21;41,29;42,00;
18/01/2020 07:00;1,19;37,85;57,52;;
18/01/2020 08:00;2,08;43,49;85,69;33,21;
18/01/2020 09:00;2,58;41,65;64,42;;
18/01/2020 10:00;2,48;21,51;26,68;27,59;
18/01/2020 11:00;2,45;13,63;16,24;;
18/01/2020 12:00;3,24;12,37;15,21;34,19;
18/01/2020 13:00;3,35;10,73;12,73;;
18/01/2020 14:00;2,83;9,26;11,07;18,32;
18/01/2020 15:00;2,55;7,78;9,53;;
18/01/2020 16:00;2,86;9,21;10,55;13,43;
18/01/2020 17:00;2,93;11,83;13,25;;
18/01/2020 18:00;2,59;20,33;22,36;15,38;
18/01/2020 19:00;3,83;27,52;31,26;;
18/01/2020 20:00;3,32;26,30;29,91;22,47;
18/01/2020 21:00;4,13;32,18;36,93;;
18/01/2020 22:00;3,56;47,69;57,83;39,80;
18/01/2020 23:00;2,86;49,58;60,96;;
19/01/2020 00:00;3,88;28,32;33,48;67,64;
19/01/2020 01:00;3,51;30,43;35,02;;63,15
19/01/2020 02:00;3,60;24,25;28,83;70,09;61,21
19/01/2020 03:00;3,06;21,31;25,32;;51,82
19/01/2020 04:00;3,20;14,54;16,92;63,25;28,25
19/01/2020 05:00;3,55;10,72;12,47;;8,66
19/01/2020 06:00;3,92;17,01;19,44;39,56;6,04
19/01/2020 07:00;3,69;18,59;21,18;;12,84
19/01/2020 08:00;2,41;14,01;16,51;26,62;14,18
19/01/2020 09:00;3,55;12,59;15,41;;13,67
19/01/2020 10:00;3,20;8,59;11,26;17,34;14,51
19/01/2020 11:00;3,17;8,44;10,92;;10,67
19/01/2020 12:00;2,95;6,08;8,07;21,25;4,90
19/01/2020 13:00;2,39;5,36;6,80;;1,02
19/01/2020 14:00;2,15;4,97;6,49;11,97;3,46
19/01/2020 15:00;2,00;4,54;5,76;;5,41
19/01/2020 16:00;2,78;5,76;7,29;6,59;4,29
19/01/2020 17:00;2,81;8,08;10,05;;7,74
19/01/2020 18:00;2,82;13,18;15,14;10,99;11,63
19/01/2020 19:00;2,29;17,10;18,94;;12,34
19/01/2020 20:00;1,38;20,37;22,79;9,77;8,20
19/01/2020 21:00;2,22;15,90;17,77;;6,56
19/01/2020 22:00;2,13;11,39;12,71;16,36;8,97
19/01/2020 23:00;1,64;10,90;12,96;;13,15
20/01/2020 00:00;1,86;5,37;6,81;14,16;11,63
20/01/2020 01:00;;5,66;6,90;;10,30
20/01/2020 02:00;1,65;6,57;7,87;21,73;16,16
20/01/2020 03:00;2,12;;;;16,17
20/01/2020 04:00;1,40;5,16;6,17;15,38;12,45
20/01/2020 05:00;2,08;6,68;7,77;;12,72
20/01/2020 06:00;1,85;7,26;8,57;20,51;12,06
20/01/2020 07:00;1,66;10,42;12,09;;13,71
20/01/2020 08:00;1,53;10,76;13,57;22,47;13,14
20/01/2020 09:00;1,44;10,89;14,88;;15,29
20/01/2020 10:00;1,53;8,46;11,10;23,44;17,44
20/01/2020 11:00;1,75;7,36;9,87;;14,69
20/01/2020 12:00;1,55;7,11;10,41;24,91;12,75
20/01/2020 13:00;2,01;4,14;5,79;;13,14
20/01/2020 14:00;1,89;3,41;4,71;22,47;13,87
20/01/2020 15:00;2,22;3,68;5,25;;12,45
20/01/2020 16:00;2,12;4,49;5,78;18,07;12,65
20/01/2020 17:00;1,93;7,82;9,12;;12,75
20/01/2020 18:00;1,81;6,08;7,35;20,27;16,21
20/01/2020 19:00;1,41;4,86;6,40;;16,83
20/01/2020 20:00;1,93;4,51;5,72;24,42;12,35
20/01/2020 21:00;2,30;4,10;5,38;;13,66
20/01/2020 22:00;1,77;4,39;5,59;19,78;16,93
20/01/2020 23:00;0,96;3,83;4,69;;14,69
21/01/2020 00:00;1,54;3,44;4,56;20,02;11,73
21/01/2020 01:00;1,49;3,30;4,35;;9,59
21/01/2020 02:00;0,94;3,16;4,08;18,32;16,41
21/01/2020 03:00;1,20;3,00;4,25;;15,11
21/01/2020 04:00;1,24;3,62;4,55;25,40;13,77
21/01/2020 05:00;1,05;3,92;5,23;;13,68
21/01/2020 06:00;1,13;4,46;5,35;20,02;12,23
21/01/2020 07:00;1,39;4,53;5,83;;11,42
21/01/2020 08:00;0,91;5,71;7,08;12,21;16,00
21/01/2020 09:00;1,42;5,33;7,14;;13,27
21/01/2020 10:00;1,86;8,19;11,68;15,63;9,46
21/01/2020 11:00;2,19;12,66;17,61;;10,90
21/01/2020 12:00;2,07;8,27;10,69;20,76;12,87
21/01/2020 13:00;3,20;3,05;4,47;;11,60
