Stat;EN02;;;;;;;
Parm;PM10;PM2.5;NOX;NO;NO2;CO;O3;
Unit;ug/m3;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;
01/01/20 01:00;27;23;6,88;0,10;6,70;;;
01/01/20 02:00;23;18;4,78;0,10;4,73;;72,89;
01/01/20 03:00;21;16;4,85;0,10;4,77;;72,58;
01/01/20 04:00;20;15;4,00;0,10;4,04;;71,68;
01/01/20 05:00;17;13;4,58;0,10;4,63;;69,96;
01/01/20 06:00;17;13;3,35;0,10;3,42;;69,75;
01/01/20 07:00;18;14;4,07;0,10;4,10;;66,20;
01/01/20 08:00;18;14;5,17;0,10;5,12;;61,37;
01/01/20 09:00;16;13;6,07;0,10;5,75;;61,16;
01/01/20 10:00;16;12;4,63;0,10;4,18;0,66;66,33;
01/01/20 11:00;13;9;8,43;1,17;6,75;;66,15;
01/01/20 12:00;14;10;7,87;1,00;6,44;;69,34;
01/01/20 13:00;15;12;6,31;0,72;5,32;;72,79;
01/01/20 14:00;16;14;7,02;0,81;5,88;;73,05;
01/01/20 15:00;16;13;4,12;0,10;3,78;;78,41;
01/01/20 16:00;17;13;5,02;0,10;4,80;;80,74;
01/01/20 17:00;18;14;4,11;0,10;4,08;;81,60;
01/01/20 18:00;17;12;4,80;0,10;4,80;;80,92;
01/01/20 19:00;17;11;10,47;0,10;10,45;;71,05;
01/01/20 20:00;15;9;7,45;0,10;7,44;;74,66;
01/01/20 21:00;13;7;8,18;0,10;8,00;;75,24;
01/01/20 22:00;13;7;7,80;0,10;7,74;;70,86;
01/01/20 23:00;13;6;11,63;0,10;11,30;;62,80;
02/01/20 00:00;12;6;10,96;0,10;10,52;;;
02/01/20 01:00;13;5;7,39;0,10;7,22;;64,37;
02/01/20 02:00;14;6;5,39;0,10;5,42;;63,47;
02/01/20 03:00;15;6;6,13;0,10;6,16;;57,02;
02/01/20 04:00;17;8;40,64;10,38;24,87;;30,74;
02/01/20 05:00;23;13;19,77;3,75;14,22;;38,19;
02/01/20 06:00;26;17;21,52;3,12;16,95;;35,33;
02/01/20 07:00;27;19;62,90;17,91;35,55;;18,77;
02/01/20 08:00;35;27;80,29;21,88;46,85;;14,25;
02/01/20 09:00;32;25;38,76;9,07;24,97;;32,61;
02/01/20 10:00;26;19;20,64;3,41;15,53;;47,78;
02/01/20 11:00;22;17;24,98;4,77;17,79;;49,15;
02/01/20 12:00;20;15;13,93;2,43;10,32;;60,92;
02/01/20 13:00;17;13;5,99;0,79;4,91;;73,11;
02/01/20 14:00;16;13;3,66;0,10;3,17;;80,21;
02/01/20 15:00;16;14;3,75;0,10;3,34;;80,96;
02/01/20 16:00;17;14;5,94;0,10;5,43;;78,34;
02/01/20 17:00;19;15;11,80;0,58;11,06;;71,56;
02/01/20 18:00;32;29;37,45;3,52;32,17;;54,75;
02/01/20 19:00;36;32;43,02;1,76;40,43;;42,92;
02/01/20 20:00;41;35;39,59;0,72;38,62;;31,35;
02/01/20 21:00;38;30;26,27;0,10;25,80;;27,74;
02/01/20 22:00;36;26;21,12;0,10;20,90;;32,55;
02/01/20 23:00;36;27;12,33;0,10;12,23;;;
03/01/20 00:00;31;22;7,78;0,10;7,61;;49,03;
03/01/20 01:00;30;23;;;;;52,54;
03/01/20 02:00;29;24;6,86;0,10;6,41;;52,43;
03/01/20 03:00;28;22;4,66;0,10;4,68;;54,10;
03/01/20 04:00;25;20;5,16;0,10;5,16;;52,70;
03/01/20 05:00;23;17;5,68;0,10;5,44;;53,14;
03/01/20 06:00;26;22;13,57;1,33;11,75;;49,06;
03/01/20 07:00;27;23;36,82;7,37;25,63;;34,84;
03/01/20 08:00;27;22;55,02;11,71;37,16;;28,33;
03/01/20 09:00;40;35;75,11;18,95;46,18;;21,87;
03/01/20 10:00;39;34;50,26;11,71;32,41;;32,21;
03/01/20 11:00;33;23;;;;;;
03/01/20 12:00;26;22;32,00;5,91;23,05;0,35;59,15;
03/01/20 13:00;24;21;21,50;3,47;16,29;0,33;67,13;
03/01/20 14:00;25;22;21,18;3,00;16,68;0,34;66,20;
03/01/20 15:00;28;24;19,99;2,50;16,26;0,35;64,74;
03/01/20 16:00;28;25;84,80;23,33;49,12;0,34;47,98;
03/01/20 17:00;30;26;56,59;8,22;44,10;0,32;38,65;
03/01/20 18:00;41;35;89,80;12,98;70,01;0,39;15,66;
03/01/20 19:00;45;38;82,81;10,72;66,49;0,50;10,49;
03/01/20 20:00;46;39;46,75;3,38;41,67;0,43;19,01;
03/01/20 21:00;36;30;20,49;0,94;19,15;0,26;39,24;
03/01/20 22:00;32;26;15,89;0,88;14,65;;;
03/01/20 23:00;28;21;14,63;0,92;13,33;0,18;44,32;
04/01/20 00:00;30;24;16,03;1,51;13,83;0,22;45,63;
04/01/20 01:00;32;26;21,28;1,77;18,68;0,26;40,74;
04/01/20 02:00;26;19;24,07;0,92;22,78;0,26;30,17;
04/01/20 03:00;24;16;22,87;0,93;21,56;0,22;32,47;
04/01/20 04:00;27;20;14,08;0,85;12,88;0,20;47,99;
04/01/20 05:00;28;21;16,92;1,10;15,34;0,18;44,77;
04/01/20 06:00;27;20;16,88;0,99;15,47;0,18;43,87;
04/01/20 07:00;40;35;59,06;12,50;40,00;0,28;25,67;
04/01/20 08:00;43;37;65,77;13,81;44,69;0,34;29,59;
04/01/20 09:00;35;28;28,64;3,64;23,18;0,29;53,53;
04/01/20 10:00;42;37;66,08;15,45;42,70;0,39;35,97;
04/01/20 11:00;35;30;19,70;3,31;14,68;0,28;62,95;
04/01/20 12:00;31;27;12,66;1,67;10,20;0,26;70,40;
04/01/20 13:00;29;24;26,58;4,38;19,97;0,25;65,26;
04/01/20 14:00;30;26;16,91;2,09;13,81;0,25;68,73;
04/01/20 15:00;30;26;19,84;2,17;16,61;0,27;61,25;
04/01/20 16:00;28;24;18,85;1,96;15,95;0,26;62,15;
04/01/20 17:00;28;25;25,98;1,95;23,10;0,26;52,49;
04/01/20 18:00;40;38;37,80;3,85;32,01;0,33;40,55;
04/01/20 19:00;33;29;65,11;10,92;48,47;0,33;24,31;
04/01/20 20:00;41;38;92,42;25,03;54,14;0,35;17,19;
04/01/20 21:00;34;29;80,05;19,17;50,76;;;
04/01/20 22:00;33;28;15,19;0,86;13,98;0,25;53,34;
04/01/20 23:00;29;23;14,98;0,81;13,84;0,25;52,66;
05/01/20 00:00;34;27;16,69;0,86;15,47;0,28;42,42;
05/01/20 01:00;33;26;16,65;0,87;15,43;0,31;41,62;
05/01/20 02:00;29;23;12,63;0,76;11,57;0,27;47,70;
05/01/20 03:00;27;20;9,60;0,78;8,51;0,25;53,05;
05/01/20 04:00;27;20;9,58;0,75;8,53;0,25;51,53;
05/01/20 05:00;27;21;9,49;0,76;8,44;0,26;49,98;
05/01/20 06:00;26;21;10,76;0,86;9,56;0,27;48,78;
05/01/20 07:00;23;17;14,34;1,24;12,56;0,26;49,17;
05/01/20 08:00;21;16;17,29;1,41;15,24;0,28;48,66;
05/01/20 09:00;16;10;5,93;0,99;4,54;0,20;75,26;
05/01/20 10:00;14;9;7,51;1,39;5,51;0,19;75,65;
05/01/20 11:00;13;9;6,01;1,10;4,43;0,17;73,13;
05/01/20 12:00;14;10;5,38;1,06;3,87;0,16;73,77;
05/01/20 13:00;15;12;4,98;1,08;3,44;0,16;77,16;
05/01/20 14:00;17;13;4,87;0,96;3,50;0,16;77,20;
05/01/20 15:00;18;15;3,85;0,86;2,64;0,13;81,66;
05/01/20 16:00;17;14;4,07;0,81;2,94;0,12;81,85;
05/01/20 17:00;16;13;3,51;0,76;2,45;0,11;83,32;
05/01/20 18:00;15;11;4,13;0,76;3,07;0,12;81,47;
05/01/20 19:00;15;9;4,28;0,75;3,23;0,12;80,20;
05/01/20 20:00;14;9;4,46;0,72;3,46;;;
05/01/20 21:00;13;8;4,46;0,74;3,44;0,12;76,78;
05/01/20 22:00;13;8;;;;0,11;75,58;
05/01/20 23:00;13;8;5,17;0,76;4,11;0,11;75,48;
06/01/20 00:00;13;8;3,92;0,75;2,87;0,11;75,19;
06/01/20 01:00;14;10;3,41;0,75;2,37;0,10;74,90;
06/01/20 02:00;14;10;3,24;0,74;2,20;0,10;75,40;
06/01/20 03:00;14;9;3,10;0,76;2,04;0,10;75,44;
06/01/20 04:00;14;9;3,03;0,75;1,99;0,11;75,07;
06/01/20 05:00;14;9;3,38;0,75;2,34;0,11;74,49;
06/01/20 06:00;14;9;3,35;0,78;2,27;0,10;74,48;
06/01/20 07:00;13;8;3,41;0,76;2,34;0,11;74,14;
06/01/20 08:00;13;8;3,68;0,80;2,55;0,11;73,63;
06/01/20 09:00;13;7;3,99;0,85;2,79;0,11;72,97;
06/01/20 10:00;12;7;4,18;0,89;2,93;0,11;72,62;
06/01/20 11:00;12;6;4,12;0,94;2,79;0,12;73,39;
06/01/20 12:00;12;6;4,27;0,96;2,91;0,13;74,03;
06/01/20 13:00;13;7;5,39;1,07;3,86;0,13;74,30;
06/01/20 14:00;14;9;4,88;0,94;3,55;0,14;75,73;
06/01/20 15:00;14;8;4,63;0,88;3,38;0,14;77,30;
06/01/20 16:00;14;8;4,62;0,82;3,47;0,14;77,49;
06/01/20 17:00;15;9;5,25;0,78;4,16;0,15;77,26;
06/01/20 18:00;15;8;5,23;0,73;4,22;0,14;77,93;
06/01/20 19:00;13;5;4,99;0,76;3,93;;;
06/01/20 20:00;13;6;4,90;0,74;3,87;0,14;78,39;
06/01/20 21:00;13;5;7,33;0,79;6,22;0,15;76,05;
06/01/20 22:00;12;4;6,15;0,75;5,12;0,15;76,73;
06/01/20 23:00;11;4;6,23;0,75;5,19;0,16;77,03;
07/01/20 00:00;11;4;5,60;0,74;4,58;0,16;76,53;
07/01/20 01:00;10;4;5,14;0,70;4,17;0,16;75,59;
07/01/20 02:00;10;4;9,15;1,00;7,73;0,16;69,26;
07/01/20 03:00;11;5;10,51;1,07;8,97;0,14;63,72;
07/01/20 04:00;11;5;26,07;5,43;17,85;0,15;51,86;
07/01/20 05:00;12;6;6,55;0,82;5,40;0,15;61,01;
07/01/20 06:00;11;6;10,71;1,10;9,13;0,16;58,56;
07/01/20 07:00;12;7;27,48;4,38;20,87;0,15;48,45;
07/01/20 08:00;14;9;45,40;7,10;34,64;0,22;39,01;
07/01/20 09:00;15;10;39,03;6,89;28,57;0,22;47,01;
07/01/20 10:00;14;10;37,73;7,95;25,63;0,19;53,46;
07/01/20 11:00;13;8;26,03;5,04;18,42;0,19;61,76;
07/01/20 12:00;14;10;22,19;4,37;15,62;0,18;67,50;
07/01/20 13:00;15;11;15,22;2,96;10,77;0,17;74,40;
07/01/20 14:00;16;13;17,84;3,73;12,27;0,17;74,97;
07/01/20 15:00;17;14;18,98;3,49;13,73;0,18;74,99;
07/01/20 16:00;18;15;27,56;4,02;21,49;0,20;69,39;
07/01/20 17:00;20;16;32,92;3,21;28,10;0,21;61,13;
07/01/20 18:00;22;17;51,09;4,07;44,97;;;
07/01/20 19:00;23;17;43,03;2,71;38,99;0,29;45,21;
07/01/20 20:00;23;16;35,32;3,88;29,48;0,29;47,16;
07/01/20 21:00;27;19;33,25;1,79;30,62;0,35;39,43;
07/01/20 22:00;25;17;22,88;1,06;21,36;0,31;47,93;
07/01/20 23:00;24;15;20,19;0,91;18,89;0,30;49,05;
08/01/20 00:00;22;14;14,80;1,09;13,23;0,27;53,40;
08/01/20 01:00;21;14;11,45;1,05;9,95;0,26;53,70;
08/01/20 02:00;22;15;8,91;0,84;7,74;0,24;54,87;
08/01/20 03:00;22;16;8,57;0,80;7,45;0,24;54,50;
08/01/20 04:00;23;17;9,12;0,81;7,99;0,25;53,40;
08/01/20 05:00;26;20;11,43;0,88;10,19;0,25;49,58;
08/01/20 06:00;28;22;46,21;9,77;31,34;0,29;34,40;
08/01/20 07:00;28;21;56,02;11,81;38,01;0,34;26,49;
08/01/20 08:00;31;25;108,06;33,30;57,12;0,56;14,70;
08/01/20 09:00;36;30;103,29;30,02;57,38;0,60;17,45;
08/01/20 10:00;28;22;44,90;10,91;28,27;0,37;43,76;
08/01/20 11:00;22;17;31,62;6,38;21,98;0,27;53,28;
08/01/20 12:00;20;16;18,29;3,35;13,29;0,24;66,02;
08/01/20 13:00;19;15;14,10;2,41;10,51;0,23;72,56;
08/01/20 14:00;18;14;9,51;1,59;7,17;0,20;81,42;
08/01/20 15:00;17;14;9,61;1,43;7,52;0,19;82,68;
08/01/20 16:00;18;15;13,47;1,46;11,35;0,21;79,77;
08/01/20 17:00;20;17;22,35;1,44;20,25;;;
08/01/20 18:00;29;25;108,28;21,46;75,48;0,33;24,42;
08/01/20 19:00;36;30;;;;0,45;8,69;
08/01/20 20:00;46;37;79,09;8,87;65,59;0,47;17,26;
08/01/20 21:00;45;35;43,93;2,08;40,85;0,44;25,38;
08/01/20 22:00;42;32;28,37;1,05;26,86;0,40;33,68;
08/01/20 23:00;36;26;18,92;1,09;17,35;0,35;39,82;
09/01/20 00:00;35;25;13,03;0,94;11,71;0,34;45,01;
09/01/20 01:00;35;26;11,22;0,93;9,90;0,33;45,06;
09/01/20 02:00;33;26;10,16;0,80;9,05;0,33;47,76;
09/01/20 03:00;33;26;9,69;0,82;8,54;0,33;49,45;
09/01/20 04:00;28;20;9,71;0,79;8,59;0,34;54,88;
09/01/20 05:00;26;18;11,91;1,12;10,32;0,33;55,90;
09/01/20 06:00;27;19;47,69;8,44;34,84;0,35;35,11;
09/01/20 07:00;31;23;43,49;7,15;32,64;0,34;32,43;
09/01/20 08:00;36;28;74,71;16,50;49,53;0,42;18,35;
09/01/20 09:00;45;36;95,00;27,87;52,41;0,48;16,60;
09/01/20 10:00;44;35;65,85;17,01;39,88;0,44;29,10;
09/01/20 11:00;41;33;45,82;11,29;28,62;0,40;47,22;
09/01/20 12:00;27;21;23,67;4,06;17,55;0,33;67,01;
09/01/20 13:00;26;20;15,00;2,31;11,57;0,32;75,43;
09/01/20 14:00;23;19;13,24;1,78;10,61;0,32;78,79;
09/01/20 15:00;23;20;14,37;1,77;11,76;0,33;80,35;
09/01/20 16:00;23;20;15,77;1,32;13,85;;;
09/01/20 17:00;25;19;28,88;1,30;27,00;0,34;58,00;
09/01/20 18:00;43;34;106,72;20,61;75,23;0,49;19,68;
09/01/20 19:00;43;31;159,30;46,19;88,58;0,54;4,16;
09/01/20 20:00;52;37;239,86;98,33;89,20;0,84;5,57;
09/01/20 21:00;54;37;167,51;59,21;76,84;0,88;6,68;
09/01/20 22:00;49;33;79,98;12,62;60,75;0,76;11,21;
09/01/20 23:00;40;28;50,67;6,02;41,56;0,50;27,18;
10/01/20 00:00;40;29;25,24;1,42;23,18;0,33;38,93;
10/01/20 01:00;44;34;26,23;1,43;24,15;0,32;32,79;
10/01/20 02:00;41;31;14,81;1,04;13,32;0,31;44,21;
10/01/20 03:00;39;30;17,27;1,11;15,65;0,30;39,66;
10/01/20 04:00;29;20;19,69;1,18;17,99;0,30;37,24;
10/01/20 05:00;29;21;21,51;1,03;20,04;0,31;33,36;
10/01/20 06:00;38;30;20,25;1,34;18,30;0,29;34,16;
10/01/20 07:00;35;26;58,44;8,41;45,66;0,36;16,56;
10/01/20 08:00;60;53;98,46;22,83;63,57;0,46;10,37;
10/01/20 09:00;72;64;172,66;59,65;81,32;0,70;11,24;
10/01/20 10:00;47;36;139,89;43,19;73,79;0,59;16,43;
10/01/20 11:00;36;28;55,66;11,79;37,69;0,39;52,45;
10/01/20 12:00;35;29;26,05;3,21;21,24;0,38;72,41;
10/01/20 13:00;35;29;23,41;2,65;19,45;0,37;76,57;
10/01/20 14:00;37;32;23,05;2,80;18,87;0,39;76,70;
10/01/20 15:00;38;34;22,07;2,39;18,52;;;
10/01/20 16:00;37;33;19,09;1,52;16,87;0,37;83,57;
10/01/20 17:00;40;35;41,35;2,64;37,42;0,44;63,53;
10/01/20 18:00;68;62;102,31;18,07;74,73;0,53;29,11;
10/01/20 19:00;83;75;84,48;6,18;75,13;0,61;19,86;
10/01/20 20:00;61;52;40,43;1,91;37,64;0,53;43,15;
10/01/20 21:00;64;55;24,99;1,37;23,00;0,45;50,43;
10/01/20 22:00;49;40;17,70;0,90;16,43;0,38;55,32;
10/01/20 23:00;44;35;13,85;0,91;12,56;0,36;57,65;
11/01/20 00:00;42;33;12,06;0,90;10,79;0,36;57,77;
11/01/20 01:00;40;31;10,05;1,18;8,37;0,34;58,19;
11/01/20 02:00;37;27;7,64;0,83;6,48;0,32;59,48;
11/01/20 03:00;35;26;7,45;0,92;6,16;0,31;62,00;
11/01/20 04:00;31;23;6,76;0,81;5,62;0,30;63,18;
11/01/20 05:00;34;27;8,74;0,85;7,55;0,31;60,51;
11/01/20 06:00;49;43;13,36;0,98;11,98;0,34;57,11;
11/01/20 07:00;60;55;60,78;12,73;41,36;0,42;40,99;
11/01/20 08:00;77;70;78,49;15,07;55,50;0,41;30,81;
11/01/20 09:00;93;88;83,13;18,48;54,91;0,43;34,55;
11/01/20 10:00;82;74;62,56;13,13;42,54;0,44;44,65;
11/01/20 11:00;49;41;30,66;4,88;23,29;0,38;69,23;
11/01/20 12:00;38;30;19,72;3,26;14,84;0,33;79,00;
11/01/20 13:00;35;28;17,03;2,61;13,14;0,33;80,83;
11/01/20 14:00;33;27;15,10;2,28;11,72;;;
11/01/20 15:00;31;26;10,18;1,30;8,30;0,31;86,87;
11/01/20 16:00;31;25;;;;0,32;82,53;
11/01/20 17:00;31;26;21,46;1,69;18,97;0,33;73,54;
11/01/20 18:00;31;25;18,50;1,26;16,68;0,36;73,78;
11/01/20 19:00;30;22;16,72;1,27;14,88;0,33;76,89;
11/01/20 20:00;38;33;23,58;1,35;21,62;0,45;53,08;
11/01/20 21:00;47;41;26,94;1,15;25,29;0,51;44,13;
11/01/20 22:00;49;43;27,04;0,93;25,72;0,53;41,87;
11/01/20 23:00;52;44;28,73;1,01;27,29;0,54;39,72;
12/01/20 00:00;51;45;26,77;0,95;25,43;0,53;41,58;
12/01/20 01:00;58;53;28,96;1,18;27,27;0,55;37,04;
12/01/20 02:00;67;61;29,63;0,88;28,39;0,57;31,33;
12/01/20 03:00;69;62;27,36;0,91;26,08;0,57;31,04;
12/01/20 04:00;61;52;23,61;0,86;22,40;0,55;33,21;
12/01/20 05:00;58;49;21,92;0,96;20,57;0,54;31,86;
12/01/20 06:00;52;42;22,32;1,40;20,28;0,52;32,87;
12/01/20 07:00;46;37;18,02;1,06;16,50;0,49;36,68;
12/01/20 08:00;48;39;17,28;1,19;15,56;0,51;40,03;
12/01/20 09:00;43;35;16,20;1,19;14,48;0,52;43,68;
12/01/20 10:00;34;26;15,96;1,67;13,51;0,47;48,16;
12/01/20 11:00;32;24;21,53;2,89;17,22;0,47;48,93;
12/01/20 12:00;29;21;24,43;3,50;19,15;0,45;51,66;
12/01/20 13:00;26;19;20,15;2,90;15,84;;;
12/01/20 14:00;21;15;10,54;1,28;8,68;0,39;69,40;
12/01/20 15:00;21;16;12,66;1,41;10,61;0,38;68,56;
12/01/20 16:00;18;13;7,53;0,94;6,19;0,36;74,81;
12/01/20 17:00;15;10;8,61;0,83;7,45;0,31;77,37;
12/01/20 18:00;14;9;13,47;0,84;12,28;0,34;73,97;
12/01/20 19:00;13;8;10,36;0,84;9,18;0,33;72,47;
12/01/20 20:00;14;9;17,75;0,84;16,57;0,37;58,10;
12/01/20 21:00;20;15;23,42;0,99;22,02;0,45;44,95;
12/01/20 22:00;25;19;31,86;1,06;30,34;0,54;35,62;
12/01/20 23:00;33;27;34,91;1,09;33,35;0,57;32,57;
13/01/20 00:00;31;26;21,96;1,03;20,49;0,49;43,65;
13/01/20 01:00;27;22;12,86;0,84;11,68;0,42;48,80;
13/01/20 02:00;21;16;6,75;0,76;5,68;0,37;55,03;
13/01/20 03:00;19;15;6,23;0,79;5,13;0,35;54,42;
13/01/20 04:00;18;14;6,93;0,81;5,80;0,35;53,05;
13/01/20 05:00;20;16;12,37;1,15;10,70;0,37;46,61;
13/01/20 06:00;21;17;26,47;3,33;21,47;0,38;40,26;
13/01/20 07:00;20;16;24,54;1,61;22,18;0,38;40,37;
13/01/20 08:00;19;14;43,94;3,77;38,26;0,42;35,72;
13/01/20 09:00;36;34;94,34;19,97;63,84;0,61;18,60;
13/01/20 10:00;40;36;67,43;13,22;47,27;0,60;35,10;
13/01/20 11:00;23;17;35,99;6,73;25,78;0,43;51,33;
13/01/20 12:00;23;17;22,51;2,36;18,99;;;
13/01/20 13:00;22;17;19,99;2,62;16,08;0,41;61,57;
13/01/20 14:00;22;17;20,89;3,16;16,15;0,41;62,29;
13/01/20 15:00;22;17;23,59;3,43;18,46;0,40;59,16;
13/01/20 16:00;23;17;24,43;2,72;20,37;0,41;56,54;
13/01/20 17:00;29;22;70,29;10,77;53,91;0,44;32,41;
13/01/20 18:00;35;27;99,25;18,50;71,05;0,56;14,36;
13/01/20 19:00;36;27;85,89;12,50;66,80;0,54;11,25;
13/01/20 20:00;40;29;104,09;21,97;70,50;0,66;7,40;
13/01/20 21:00;48;37;134,25;38,47;75,39;0,84;6,29;
13/01/20 22:00;61;50;100,96;22,62;66,38;0,83;6,02;
13/01/20 23:00;63;52;60,25;6,69;50,09;0,77;6,80;
14/01/20 00:00;50;40;34,27;2,15;31,09;0,58;18,59;
14/01/20 01:00;58;50;21,17;1,17;19,47;0,50;32,52;
14/01/20 02:00;46;37;18,37;0,96;17,02;0,48;33,90;
14/01/20 03:00;42;33;32,03;2,39;28,48;0,48;16,02;
14/01/20 04:00;48;40;28,08;2,63;24,15;0,48;18,80;
14/01/20 05:00;52;45;25,34;2,53;21,59;0,48;21,87;
14/01/20 06:00;47;40;38,09;5,63;29,57;0,48;15,12;
14/01/20 07:00;39;32;59,72;10,27;44,10;0,50;11,42;
14/01/20 08:00;28;21;89,87;18,01;62,38;0,47;8,84;
14/01/20 09:00;28;21;106,99;27,54;64,89;0,54;16,12;
14/01/20 10:00;32;26;85,26;21,88;51,79;0,55;27,05;
14/01/20 11:00;26;21;45,15;9,29;31,01;;;
14/01/20 12:00;30;26;36,67;5,73;28,00;0,54;57,01;
14/01/20 13:00;27;24;;;;0,47;65,24;
14/01/20 14:00;32;29;17,29;2,60;13,42;0,47;62,08;
14/01/20 15:00;28;25;14,94;1,82;12,25;0,46;68,50;
14/01/20 16:00;27;24;17,50;1,48;15,34;0,48;72,02;
14/01/20 17:00;29;26;35,61;1,74;33,07;0,49;53,73;
14/01/20 18:00;33;28;94,39;17,20;68,19;0,60;19,84;
14/01/20 19:00;40;33;144,29;38,51;85,36;0,67;7,52;
14/01/20 20:00;46;38;92,77;16,35;67,80;0,60;7,03;
14/01/20 21:00;67;57;37,86;2,67;33,86;0,57;19,13;
14/01/20 22:00;64;55;27,45;1,54;25,17;0,53;22,83;
14/01/20 23:00;65;57;20,06;0,99;18,64;0,51;33,55;
15/01/20 00:00;57;49;17,15;1,08;15,61;0,47;37,19;
15/01/20 01:00;57;49;13,92;1,05;12,41;0,46;37,23;
15/01/20 02:00;54;45;15,89;1,03;14,43;0,46;35,26;
15/01/20 03:00;58;50;11,35;0,89;10,10;0,45;43,49;
15/01/20 04:00;53;45;11,71;0,89;10,45;0,44;46,27;
15/01/20 05:00;48;39;10,53;0,90;9,26;0,41;46,25;
15/01/20 06:00;43;34;38,83;6,77;28,57;0,41;36,83;
15/01/20 07:00;42;34;55,93;11,48;38,42;0,43;29,05;
15/01/20 08:00;55;46;78,63;16,88;52,88;0,54;24,48;
15/01/20 09:00;61;52;133,23;39,90;72,25;0,60;16,85;
15/01/20 10:00;51;42;92,54;24,41;55,19;;;
15/01/20 11:00;39;30;59,01;11,95;40,98;0,55;47,66;
15/01/20 12:00;32;24;20,61;2,89;16,29;0,48;72,60;
15/01/20 13:00;26;20;13,13;1,78;10,51;0,44;77,18;
15/01/20 14:00;24;19;13,04;1,97;10,13;0,44;79,20;
15/01/20 15:00;23;19;13,55;2,04;10,54;0,44;81,13;
15/01/20 16:00;24;19;13,49;1,42;11,42;0,46;80,54;
15/01/20 17:00;25;21;25,57;1,93;22,73;0,49;66,28;
15/01/20 18:00;32;26;57,56;3,52;52,28;0,52;39,91;
15/01/20 19:00;38;31;101,54;15,56;77,80;0,59;15,39;
15/01/20 20:00;51;44;64,76;5,46;56,47;0,64;21,70;
15/01/20 21:00;66;58;28,16;1,76;25,56;0,57;34,72;
15/01/20 22:00;54;46;25,33;1,65;22,91;0,52;36,64;
15/01/20 23:00;41;33;13,50;0,89;12,24;0,45;47,10;
16/01/20 00:00;38;30;10,38;0,99;8,97;0,46;51,14;
16/01/20 01:00;38;30;10,52;1,06;9,00;0,46;52,05;
16/01/20 02:00;36;27;9,98;1,05;8,50;0,44;53,51;
16/01/20 03:00;36;27;8,84;0,87;7,61;0,43;55,46;
16/01/20 04:00;33;25;9,49;0,84;8,31;0,41;53,19;
16/01/20 05:00;32;25;19,09;1,45;16,98;0,41;45,68;
16/01/20 06:00;28;22;22,47;1,71;19,97;0,40;44,71;
16/01/20 07:00;33;27;39,49;3,47;34,29;0,47;37,24;
16/01/20 08:00;43;37;79,45;12,33;60,68;0,61;23,48;
16/01/20 09:00;43;37;82,01;16,76;56,39;;;
16/01/20 10:00;37;30;78,40;17,72;51,31;0,60;38,76;
16/01/20 11:00;27;21;28,24;4,62;21,25;0,48;71,14;
16/01/20 12:00;23;18;24,11;4,19;17,79;0,45;76,44;
16/01/20 13:00;23;18;25,88;4,68;18,81;0,45;80,22;
16/01/20 14:00;21;17;24,82;4,58;17,85;0,43;81,54;
16/01/20 15:00;21;17;26,25;4,24;19,87;0,43;80,33;
16/01/20 16:00;21;17;26,49;3,54;21,16;0,42;79,05;
16/01/20 17:00;21;18;24,12;2,24;20,80;0,43;73,88;
16/01/20 18:00;24;20;39,01;3,12;34,34;0,46;56,55;
16/01/20 19:00;28;23;77,15;11,43;59,73;0,54;32,79;
16/01/20 20:00;36;31;83,73;14,22;62,05;0,62;22,47;
16/01/20 21:00;44;37;50,93;4,61;43,94;0,61;29,56;
16/01/20 22:00;51;43;31,78;1,15;30,12;0,60;36,24;
16/01/20 23:00;56;47;28,98;1,01;27,54;0,62;35,56;
17/01/20 00:00;62;54;23,92;1,07;22,39;0,64;37,96;
17/01/20 01:00;71;63;23,22;1,00;21,79;0,64;38,21;
17/01/20 02:00;70;63;20,41;0,95;19,06;0,61;42,06;
17/01/20 03:00;67;60;18,34;0,90;17,06;0,60;45,08;
17/01/20 04:00;65;58;18,91;0,93;17,59;0,59;43,95;
17/01/20 05:00;64;56;20,23;1,07;18,69;0,58;41,58;
17/01/20 06:00;63;55;26,66;1,89;23,86;0,59;38,36;
17/01/20 07:00;56;49;27,96;1,48;25,79;0,57;38,47;
17/01/20 08:00;55;49;58,03;7,02;47,39;;;
17/01/20 09:00;57;51;74,24;15,16;51,10;0,63;23,92;
17/01/20 10:00;51;46;;;;0,63;30,72;
17/01/20 11:00;42;38;40,31;7,66;28,67;0,61;52,83;
17/01/20 12:00;40;36;38,54;7,54;27,09;0,59;61,20;
17/01/20 13:00;37;32;27,62;4,44;20,91;0,55;68,06;
17/01/20 14:00;37;34;29,15;4,54;22,36;0,54;69,78;
17/01/20 15:00;37;34;29,79;4,32;23,32;0,55;68,01;
17/01/20 16:00;36;33;31,55;3,28;26,62;0,55;65,20;
17/01/20 17:00;37;32;34,26;2,13;31,11;0,56;57,99;
17/01/20 18:00;47;41;63,58;4,71;56,50;0,63;38,50;
17/01/20 19:00;51;43;112,38;21,54;79,50;0,67;17,78;
17/01/20 20:00;53;43;57,06;4,32;50,51;0,67;26,64;
17/01/20 21:00;45;34;26,32;1,64;23,91;0,55;38,23;
17/01/20 22:00;33;23;19,80;1,04;18,31;0,47;47,57;
