Stat;EN03;;;;;;
Parm;PM10;NOX;NO;NO2;CO;;
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;;
01/01/20 01:00;20;17,76;1,96;14,74;0,30;;
01/01/20 02:00;20;20,05;1,85;17,22;0,29;;
01/01/20 03:00;20;16,13;1,42;13,95;0,27;;
01/01/20 04:00;20;12,22;1,27;10,27;0,27;;
01/01/20 05:00;20;7,98;1,09;6,31;0,22;;
01/01/20 06:00;20;11,37;2,34;7,78;0,22;;
01/01/20 07:00;20;8,38;1,11;6,68;0,23;;
01/01/20 08:00;20;10,44;1,40;8,29;0,23;;
01/01/20 09:00;20;10,74;1,34;8,70;0,24;;
01/01/20 10:00;20;13,76;1,96;10,76;0,28;;
01/01/20 11:00;20;15,38;2,64;11,33;0,28;;
01/01/20 12:00;20;15,30;2,79;11,01;0,28;;
01/01/20 13:00;20;18,59;3,44;13,32;0,29;;
01/01/20 14:00;20;20,01;3,69;14,35;0,30;;
01/01/20 15:00;20;19,16;3,90;13,18;0,27;;
01/01/20 16:00;20;9,91;1,29;7,93;0,24;;
01/01/20 17:00;20;14,62;1,19;12,80;0,26;;
01/01/20 18:00;20;26,32;1,84;23,50;;;
01/01/20 19:00;20;39,13;2,92;34,65;0,36;;
01/01/20 20:00;20;45,98;3,63;40,41;0,34;;
01/01/20 21:00;20;34,49;2,61;30,49;0,35;;
01/01/20 22:00;20;30,00;2,41;26,30;0,32;;
01/01/20 23:00;20;22,87;1,97;19,84;0,27;;
02/01/20 00:00;20;24,30;1,73;21,66;0,37;;
02/01/20 01:00;23;23,83;1,84;21,01;0,31;;
02/01/20 02:00;23;16,10;1,79;13,36;0,29;;
02/01/20 03:00;23;10,93;1,02;9,37;0,27;;
02/01/20 04:00;23;8,21;1,01;6,67;0,28;;
02/01/20 05:00;23;10,29;1,12;8,58;0,33;;
02/01/20 06:00;23;25,48;4,90;17,96;0,35;;
02/01/20 07:00;23;32,70;4,83;25,29;0,35;;
02/01/20 08:00;23;43,27;7,52;31,75;0,39;;
02/01/20 09:00;23;68,25;19,21;38,80;0,47;;
02/01/20 10:00;23;51,49;12,55;32,25;0,43;;
02/01/20 11:00;23;47,94;10,97;31,12;0,39;;
02/01/20 12:00;23;48,87;11,15;31,77;0,35;;
02/01/20 13:00;23;36,59;7,42;25,20;0,29;;
02/01/20 14:00;23;34,79;6,91;24,20;0,27;;
02/01/20 15:00;23;32,37;5,66;23,68;0,28;;
02/01/20 16:00;23;45,23;7,66;33,48;0,29;;
02/01/20 17:00;23;66,40;8,96;52,67;;;
02/01/20 18:00;23;85,74;14,96;62,80;0,54;;
02/01/20 19:00;23;93,68;17,51;66,83;0,55;;
02/01/20 20:00;23;70,04;12,53;50,82;0,47;;
02/01/20 21:00;23;54,51;10,83;37,91;0,51;;
02/01/20 22:00;23;33,23;5,86;24,25;0,44;;
02/01/20 23:00;23;25,43;3,81;19,58;0,39;;
03/01/20 00:00;23;19,23;2,06;16,07;0,39;;
03/01/20 01:00;29;10,83;1,18;9,03;0,33;;
03/01/20 02:00;29;10,16;1,16;8,38;0,33;;
03/01/20 03:00;29;8,91;0,98;7,41;0,32;;
03/01/20 04:00;29;8,04;1,01;6,49;0,31;;
03/01/20 05:00;29;10,07;1,05;8,46;0,31;;
03/01/20 06:00;29;18,22;2,86;13,83;0,30;;
03/01/20 07:00;29;30,91;4,63;23,81;0,33;;
03/01/20 08:00;29;106,86;33,53;55,45;0,50;;
03/01/20 09:00;29;110,84;37,22;53,75;0,54;;
03/01/20 10:00;29;72,53;17,87;45,12;0,49;;
03/01/20 11:00;29;64,42;14,62;42,00;0,51;;
03/01/20 12:00;29;52,94;10,95;36,14;0,43;;
03/01/20 13:00;29;45,19;8,58;32,04;0,39;;
03/01/20 14:00;29;49,73;9,94;34,51;0,42;;
03/01/20 15:00;29;53,48;11,28;36,18;0,44;;
03/01/20 16:00;29;157,36;74,70;43,46;;;
03/01/20 17:00;29;151,57;46,83;79,75;0,49;;
03/01/20 18:00;29;267,02;117,94;86,11;1,30;;
03/01/20 19:00;29;111,09;37,83;53,17;0,79;;
03/01/20 20:00;29;129,77;49,94;53,15;0,77;;
03/01/20 21:00;29;94,30;29,95;48,38;0,62;;
03/01/20 22:00;29;71,02;17,80;43,73;0,70;;
03/01/20 23:00;29;63,34;16,40;38,18;0,49;;
04/01/20 00:00;29;38,57;6,42;28,73;0,37;;
04/01/20 01:00;24;25,87;3,34;20,76;0,36;;
04/01/20 02:00;24;20,39;2,20;17,02;0,39;;
04/01/20 03:00;24;20,72;3,04;16,06;0,41;;
04/01/20 04:00;24;13,36;1,35;11,29;0,28;;
04/01/20 05:00;24;17,22;1,55;14,85;0,28;;
04/01/20 06:00;24;65,05;19,37;35,35;0,31;;
04/01/20 07:00;24;43,54;5,23;35,52;0,35;;
04/01/20 08:00;24;62,62;10,50;46,52;0,40;;
04/01/20 09:00;24;80,74;16,67;55,18;0,53;;
04/01/20 10:00;24;74,20;14,85;51,42;0,57;;
04/01/20 11:00;24;54,31;10,21;38,65;0,42;;
04/01/20 12:00;24;46,89;7,89;34,79;0,38;;
04/01/20 13:00;24;40,99;5,57;32,44;0,39;;
04/01/20 14:00;24;40,51;5,67;31,82;0,39;;
04/01/20 15:00;24;30,00;4,12;23,69;;;
04/01/20 16:00;24;35,18;4,40;28,43;0,38;;
04/01/20 17:00;24;59,59;7,54;48,02;0,49;;
04/01/20 18:00;24;58,08;7,95;45,89;0,52;;
04/01/20 19:00;24;;;;0,45;;
04/01/20 20:00;24;41,12;5,79;32,24;0,40;;
04/01/20 21:00;24;43,01;5,32;34,85;0,39;;
04/01/20 22:00;24;41,34;4,70;34,13;0,39;;
04/01/20 23:00;24;37,44;4,20;31,00;0,44;;
05/01/20 00:00;24;29,87;3,49;24,52;0,42;;
05/01/20 01:00;11;16,53;1,63;14,03;0,34;;
05/01/20 02:00;11;16,57;1,59;14,13;0,32;;
05/01/20 03:00;11;14,17;1,37;12,07;0,30;;
05/01/20 04:00;11;13,55;1,19;11,72;0,31;;
05/01/20 05:00;11;14,12;1,27;12,18;0,31;;
05/01/20 06:00;11;13,42;1,42;11,25;0,32;;
05/01/20 07:00;11;16,71;1,65;14,18;0,32;;
05/01/20 08:00;11;18,52;1,86;15,67;0,35;;
05/01/20 09:00;11;13,43;1,57;11,02;0,26;;
05/01/20 10:00;11;16,18;2,08;12,98;0,25;;
05/01/20 11:00;11;14,40;2,33;10,84;0,25;;
05/01/20 12:00;11;;;;0,24;;
05/01/20 13:00;11;13,41;2,49;9,59;0,24;;
05/01/20 14:00;11;13,69;2,51;9,84;;;
05/01/20 15:00;11;7,89;1,44;5,68;0,21;;
05/01/20 16:00;11;8,63;1,44;6,42;0,21;;
05/01/20 17:00;11;11,35;1,85;8,51;0,21;;
05/01/20 18:00;11;12,34;1,97;9,31;0,21;;
05/01/20 19:00;11;12,22;1,93;9,26;0,21;;
05/01/20 20:00;11;11,40;1,90;8,49;0,21;;
05/01/20 21:00;11;10,10;1,71;7,48;0,21;;
05/01/20 22:00;11;9,11;1,57;6,69;0,20;;
05/01/20 23:00;11;7,59;1,35;5,52;0,22;;
06/01/20 00:00;11;6,09;1,15;4,32;0,21;;
06/01/20 01:00;8;5,50;1,12;3,78;0,20;;
06/01/20 02:00;8;5,16;1,05;3,54;0,21;;
06/01/20 03:00;8;4,21;0,94;2,77;0,20;;
06/01/20 04:00;8;4,35;0,99;2,82;0,20;;
06/01/20 05:00;8;5,11;1,08;3,45;0,21;;
06/01/20 06:00;8;5,16;1,08;3,50;0,21;;
06/01/20 07:00;8;5,72;1,14;3,98;0,21;;
06/01/20 08:00;8;6,03;1,15;4,26;0,23;;
06/01/20 09:00;8;7,17;1,33;5,12;0,23;;
06/01/20 10:00;8;8,27;1,62;5,80;0,24;;
06/01/20 11:00;8;10,94;2,22;7,54;0,25;;
06/01/20 12:00;8;12,92;2,66;8,83;0,25;;
06/01/20 13:00;8;14,87;2,65;10,80;;;
06/01/20 14:00;8;15,00;2,64;10,96;0,25;;
06/01/20 15:00;8;9,31;1,65;6,79;0,24;;
06/01/20 16:00;8;8,70;1,43;6,50;0,25;;
06/01/20 17:00;8;14,56;2,16;11,25;0,25;;
06/01/20 18:00;8;16,61;2,28;13,11;0,26;;
06/01/20 19:00;8;19,56;2,72;15,38;0,26;;
06/01/20 20:00;8;19,70;2,65;15,63;0,26;;
06/01/20 21:00;8;20,93;2,48;17,13;0,27;;
06/01/20 22:00;8;15,62;1,80;12,87;0,26;;
06/01/20 23:00;8;11,81;1,52;9,49;0,25;;
07/01/20 00:00;8;11,21;1,43;9,02;0,26;;
07/01/20 01:00;20;7,89;1,15;6,12;0,26;;
07/01/20 02:00;20;9,53;1,12;7,82;0,25;;
07/01/20 03:00;20;7,54;1,06;5,91;0,25;;
07/01/20 04:00;20;9,67;1,06;8,04;0,27;;
07/01/20 05:00;20;9,79;1,19;7,96;0,26;;
07/01/20 06:00;20;15,84;2,27;12,36;0,26;;
07/01/20 07:00;20;;;;0,32;;
07/01/20 08:00;20;108,80;33,10;58,04;0,41;;
07/01/20 09:00;20;93,21;24,11;56,24;0,46;;
07/01/20 10:00;20;62,32;15,00;39,31;0,38;;
07/01/20 11:00;20;38,27;8,13;25,80;0,32;;
07/01/20 12:00;20;39,89;8,41;26,99;;;
07/01/20 13:00;20;37,39;7,67;25,64;0,31;;
07/01/20 14:00;20;41,03;8,69;27,71;0,32;;
07/01/20 15:00;20;38,36;6,76;27,99;0,32;;
07/01/20 16:00;20;31,04;4,24;24,55;0,33;;
07/01/20 17:00;20;53,23;6,27;43,62;0,38;;
07/01/20 18:00;20;63,30;9,59;48,59;0,45;;
07/01/20 19:00;20;83,91;14,69;61,39;0,56;;
07/01/20 20:00;20;48,02;6,05;38,74;0,46;;
07/01/20 21:00;20;40,26;4,48;33,40;0,45;;
07/01/20 22:00;20;27,69;3,70;22,02;0,38;;
07/01/20 23:00;20;18,16;2,08;14,98;0,36;;
08/01/20 00:00;20;17,22;2,10;14,00;0,36;;
08/01/20 01:00;25;10,36;1,15;8,60;0,34;;
08/01/20 02:00;25;8,30;1,02;6,74;0,33;;
08/01/20 03:00;25;9,31;1,02;7,75;0,33;;
08/01/20 04:00;25;10,35;0,98;8,84;0,34;;
08/01/20 05:00;25;10,23;1,04;8,64;0,34;;
08/01/20 06:00;25;20,82;3,01;16,20;0,35;;
08/01/20 07:00;25;32,57;5,18;24,63;0,39;;
08/01/20 08:00;25;61,76;14,07;40,18;0,48;;
08/01/20 09:00;25;98,46;31,65;49,93;0,57;;
08/01/20 10:00;25;80,19;22,27;46,05;0,54;;
08/01/20 11:00;25;47,46;9,92;32,25;;;
08/01/20 12:00;25;45,78;9,43;31,32;0,37;;
08/01/20 13:00;25;43,96;9,34;29,63;0,34;;
08/01/20 14:00;25;41,74;8,51;28,69;0,32;;
08/01/20 15:00;25;37,77;6,54;27,75;0,32;;
08/01/20 16:00;25;43,64;6,08;34,31;0,33;;
08/01/20 17:00;25;113,07;24,75;75,12;0,41;;
08/01/20 18:00;25;178,62;55,67;93,27;0,67;;
08/01/20 19:00;25;80,48;10,79;63,94;0,53;;
08/01/20 20:00;25;61,11;9,06;47,21;0,51;;
08/01/20 21:00;25;41,04;6,13;31,65;0,51;;
08/01/20 22:00;25;32,55;5,51;24,09;0,45;;
08/01/20 23:00;25;23,95;3,55;18,51;0,43;;
09/01/20 00:00;25;14,35;1,82;11,56;0,42;;
09/01/20 01:00;37;11,68;1,33;9,64;0,41;;
09/01/20 02:00;37;;;;0,41;;
09/01/20 03:00;37;14,77;1,15;13,00;0,41;;
09/01/20 04:00;37;14,41;1,17;12,62;0,42;;
09/01/20 05:00;37;15,15;1,29;13,17;0,41;;
09/01/20 06:00;37;20,64;3,26;15,64;0,42;;
09/01/20 07:00;37;38,34;6,48;28,41;0,44;;
09/01/20 08:00;37;43,39;8,65;30,13;0,52;;
09/01/20 09:00;37;59,73;15,69;35,68;0,58;;
09/01/20 10:00;37;43,07;9,28;28,83;;;
09/01/20 11:00;37;53,43;11,07;36,46;0,49;;
09/01/20 12:00;37;43,49;8,36;30,67;0,45;;
09/01/20 13:00;37;42,87;8,30;30,14;0,44;;
09/01/20 14:00;37;;;;;;
09/01/20 15:00;37;49,55;8,42;36,65;0,43;;
09/01/20 16:00;37;58,56;8,75;45,14;0,45;;
09/01/20 17:00;37;142,77;38,78;83,31;0,55;;
09/01/20 18:00;37;308,50;129,34;110,18;1,04;;
09/01/20 19:00;37;174,45;66,98;71,76;1,17;;
09/01/20 20:00;37;150,91;57,18;63,24;1,01;;
09/01/20 21:00;37;153,71;61,03;60,13;1,18;;
09/01/20 22:00;37;86,61;22,62;51,92;0,93;;
09/01/20 23:00;37;66,23;16,26;41,36;0,61;;
10/01/20 00:00;37;34,01;3,38;28,85;0,55;;
10/01/20 01:00;43;23,76;2,21;20,36;0,46;;
10/01/20 02:00;43;13,50;1,47;11,25;0,39;;
10/01/20 03:00;43;11,02;1,33;8,97;0,37;;
10/01/20 04:00;43;11,44;1,27;9,49;0,39;;
10/01/20 05:00;43;12,42;1,38;10,30;0,41;;
10/01/20 06:00;43;44,76;10,66;28,41;0,41;;
10/01/20 07:00;43;44,34;7,47;32,88;0,46;;
10/01/20 08:00;43;145,23;54,71;61,35;0,68;;
10/01/20 09:00;43;222,22;93,41;79,00;1,07;;
10/01/20 10:00;43;126,35;38,74;66,95;0,89;;
10/01/20 11:00;43;74,54;13,15;54,38;0,62;;
10/01/20 12:00;43;56,92;9,86;41,80;0,52;;
10/01/20 13:00;43;41,66;6,10;32,31;0,49;;
10/01/20 14:00;43;58,29;10,88;41,61;0,51;;
10/01/20 15:00;43;59,21;10,23;43,53;0,52;;
10/01/20 16:00;43;85,22;15,28;61,81;0,53;;
10/01/20 17:00;43;95,42;12,29;76,55;0,58;;
10/01/20 18:00;43;141,01;32,20;91,59;0,82;;
10/01/20 19:00;43;86,76;13,72;65,73;0,75;;
10/01/20 20:00;43;82,55;15,37;58,99;0,86;;
10/01/20 21:00;43;100,85;22,14;66,91;0,96;;
10/01/20 22:00;43;85,70;17,93;58,21;0,95;;
10/01/20 23:00;43;62,21;9,63;47,43;0,76;;
11/01/20 00:00;43;41,87;3,85;35,97;0,67;;
11/01/20 01:00;28;30,62;2,21;27,23;0,59;;
11/01/20 02:00;28;21,01;1,84;18,19;0,49;;
11/01/20 03:00;28;15,11;1,44;12,90;0,45;;
11/01/20 04:00;28;11,52;1,18;9,70;0,42;;
11/01/20 05:00;28;15,21;1,90;12,30;0,42;;
11/01/20 06:00;28;25,25;2,99;20,67;0,42;;
11/01/20 07:00;28;40,34;3,53;34,93;0,46;;
11/01/20 08:00;28;63,83;11,13;46,78;0,60;;
11/01/20 09:00;28;;;;0,64;;
11/01/20 10:00;28;68,67;11,56;50,96;0,57;;
11/01/20 11:00;28;54,94;8,73;41,55;0,50;;
11/01/20 12:00;28;39,16;6,04;29,89;;;
11/01/20 13:00;28;36,29;5,97;27,13;0,50;;
11/01/20 14:00;28;32,40;4,99;24,75;0,57;;
11/01/20 15:00;28;28,11;3,91;22,11;0,46;;
11/01/20 16:00;28;28,02;3,28;23,00;0,46;;
11/01/20 17:00;28;36,53;3,96;30,44;0,61;;
11/01/20 18:00;28;34,07;3,60;28,53;0,51;;
11/01/20 19:00;28;36,36;3,42;31,14;0,49;;
11/01/20 20:00;28;49,24;5,96;40,11;0,61;;
11/01/20 21:00;28;59,47;9,17;45,40;0,69;;
11/01/20 22:00;28;52,12;7,09;41,25;0,71;;
11/01/20 23:00;28;43,99;5,79;35,12;0,64;;
12/01/20 00:00;28;35,52;2,83;31,18;0,62;;
12/01/20 01:00;32;36,11;2,68;32,00;0,63;;
12/01/20 02:00;32;36,44;2,83;32,10;0,65;;
12/01/20 03:00;32;31,40;2,21;28,01;0,63;;
12/01/20 04:00;32;26,99;1,82;24,20;0,61;;
12/01/20 05:00;32;20,63;1,52;18,30;0,58;;
12/01/20 06:00;32;23,09;1,75;20,40;0,58;;
12/01/20 07:00;32;32,54;6,20;23,04;0,57;;
12/01/20 08:00;32;27,47;2,59;23,50;0,59;;
12/01/20 09:00;32;28,67;3,52;23,26;0,60;;
12/01/20 10:00;32;26,16;4,37;19,46;0,59;;
12/01/20 11:00;32;33,82;5,93;24,73;;;
12/01/20 12:00;32;33,26;5,81;24,35;0,56;;
12/01/20 13:00;32;38,15;6,40;28,35;0,54;;
12/01/20 14:00;32;30,88;3,97;24,79;0,50;;
12/01/20 15:00;32;20,15;2,09;16,95;0,47;;
12/01/20 16:00;32;19,07;1,79;16,33;0,45;;
12/01/20 17:00;32;28,61;1,85;25,77;0,42;;
12/01/20 18:00;32;41,59;3,11;36,82;0,44;;
12/01/20 19:00;32;61,23;4,78;53,90;0,52;;
12/01/20 20:00;32;70,36;8,94;56,64;0,82;;
12/01/20 21:00;32;57,52;8,28;44,83;0,64;;
12/01/20 22:00;32;38,28;3,59;32,77;0,57;;
12/01/20 23:00;32;25,57;2,13;22,30;0,54;;
13/01/20 00:00;32;17,51;1,61;15,03;0,48;;
13/01/20 01:00;34;12,48;1,34;10,43;0,46;;
13/01/20 02:00;34;9,65;1,23;7,76;0,44;;
13/01/20 03:00;34;10,42;1,15;8,65;0,44;;
13/01/20 04:00;34;;;;0,42;;
13/01/20 05:00;34;25,43;3,37;20,26;0,43;;
13/01/20 06:00;34;33,35;4,85;25,91;0,45;;
13/01/20 07:00;34;44,51;5,93;35,42;0,47;;
13/01/20 08:00;34;109,54;32,26;60,09;0,63;;
13/01/20 09:00;34;122,74;40,74;60,27;0,70;;
13/01/20 10:00;34;125,18;39,05;65,30;;;
13/01/20 11:00;34;73,87;16,36;48,79;0,57;;
13/01/20 12:00;34;79,15;18,08;51,43;0,54;;
13/01/20 13:00;34;59,42;12,34;40,52;0,53;;
13/01/20 14:00;34;66,12;14,62;43,70;0,54;;
13/01/20 15:00;34;61,31;12,42;42,27;0,51;;
13/01/20 16:00;34;63,11;11,80;45,01;0,55;;
13/01/20 17:00;34;99,38;22,27;65,24;0,70;;
13/01/20 18:00;34;143,48;50,30;66,36;1,03;;
13/01/20 19:00;34;213,96;94,57;68,95;1,43;;
13/01/20 20:00;34;195,68;85,13;65,15;1,20;;
13/01/20 21:00;34;171,55;75,75;55,41;1,33;;
13/01/20 22:00;34;84,18;26,61;43,39;1,07;;
13/01/20 23:00;34;63,41;16,21;38,56;0,93;;
14/01/20 00:00;34;61,43;15,11;38,25;0,81;;
14/01/20 01:00;;29,89;4,36;23,23;0,58;;
14/01/20 02:00;;29,34;3,50;23,98;0,63;;
14/01/20 03:00;;19,41;2,22;16,02;0,62;;
14/01/20 04:00;;14,59;1,89;11,70;0,56;;
14/01/20 05:00;;14,65;2,11;11,41;0,54;;
14/01/20 06:00;;16,78;2,65;12,72;0,54;;
14/01/20 07:00;;41,35;9,46;26,84;0,61;;
14/01/20 08:00;;138,55;52,47;58,10;0,83;;
14/01/20 09:00;;125,80;42,72;60,31;;;
14/01/20 10:00;;101,60;28,04;58,60;0,78;;
14/01/20 11:00;;88,62;18,92;59,66;0,64;;
14/01/20 12:00;;70,81;14,34;48,85;0,62;;
14/01/20 13:00;;56,64;11,97;38,29;0,59;;
14/01/20 14:00;;54,49;12,89;34,73;0,58;;
14/01/20 15:00;;50,65;9,52;36,03;0,54;;
14/01/20 16:00;;59,59;9,67;44,76;0,55;;
14/01/20 17:00;;62,50;4,74;55,23;0,64;;
14/01/20 18:00;;217,06;82,90;89,95;1,00;;
14/01/20 19:00;;208,22;87,55;73,99;1,18;;
14/01/20 20:00;;205,53;92,26;64,07;1,15;;
14/01/20 21:00;;206,07;95,68;59,37;1,30;;
14/01/20 22:00;;101,46;38,50;42,43;1,30;;
14/01/20 23:00;;;;;0,76;;
15/01/20 00:00;;32,72;4,97;25,09;0,65;;
15/01/20 01:00;40;21,02;1,89;18,12;0,61;;
15/01/20 02:00;40;18,32;1,68;15,75;0,58;;
15/01/20 03:00;40;13,45;1,51;11,15;0,52;;
15/01/20 04:00;40;10,62;1,28;8,66;0,50;;
15/01/20 05:00;40;11,69;1,51;9,39;0,49;;
15/01/20 06:00;40;66,06;24,00;29,26;0,51;;
15/01/20 07:00;40;50,72;10,99;33,88;0,58;;
15/01/20 08:00;40;124,39;44,44;56,24;;;
15/01/20 09:00;40;147,38;53,64;65,13;1,04;;
15/01/20 10:00;40;147,17;47,55;74,26;1,04;;
15/01/20 11:00;40;73,47;12,12;54,89;0,66;;
15/01/20 12:00;40;58,81;9,85;43,69;0,63;;
15/01/20 13:00;40;50,34;9,14;36,33;0,56;;
15/01/20 14:00;40;53,76;11,16;36,66;0,55;;
15/01/20 15:00;40;54,15;9,81;39,12;0,54;;
15/01/20 16:00;40;61,56;9,91;46,36;0,56;;
15/01/20 17:00;40;100,56;18,71;71,87;0,62;;
15/01/20 18:00;40;98,40;15,95;73,95;0,78;;
15/01/20 19:00;40;163,06;55,21;78,40;1,09;;
15/01/20 20:00;40;117,06;38,66;57,78;0,97;;
15/01/20 21:00;40;84,32;23,88;47,70;0,90;;
15/01/20 22:00;40;70,40;16,85;44,57;1,00;;
15/01/20 23:00;40;54,06;9,16;40,02;0,78;;
16/01/20 00:00;40;34,93;4,24;28,43;0,67;;
16/01/20 01:00;31;14,81;1,46;12,57;0,53;;
16/01/20 02:00;31;11,78;1,33;9,73;0,52;;
16/01/20 03:00;31;11,97;1,25;10,06;0,51;;
16/01/20 04:00;31;9,98;1,16;8,21;0,49;;
16/01/20 05:00;31;12,83;1,21;10,97;0,50;;
16/01/20 06:00;31;26,19;4,07;19,96;0,49;;
16/01/20 07:00;31;42,22;4,16;35,84;;;
16/01/20 08:00;31;79,13;17,31;52,59;0,64;;
16/01/20 09:00;31;95,49;24,14;58,47;0,81;;
16/01/20 10:00;31;81,36;17,65;54,30;0,71;;
16/01/20 11:00;31;57,33;9,56;42,67;0,62;;
16/01/20 12:00;31;48,90;7,88;36,83;0,58;;
16/01/20 13:00;31;41,70;6,63;31,53;0,55;;
16/01/20 14:00;31;37,70;6,56;27,65;0,53;;
16/01/20 15:00;31;37,49;5,99;28,31;0,52;;
16/01/20 16:00;31;41,04;6,45;31,16;0,54;;
16/01/20 17:00;31;92,14;15,87;67,81;0,59;;
16/01/20 18:00;31;;;;0,65;;
16/01/20 19:00;31;82,34;14,51;60,10;0,76;;
16/01/20 20:00;31;54,76;7,36;43,47;0,66;;
16/01/20 21:00;31;36,67;4,20;30,24;0,64;;
16/01/20 22:00;31;33,29;4,59;26,26;0,64;;
16/01/20 23:00;31;24,95;3,07;20,24;0,64;;
17/01/20 00:00;49;22,83;2,21;19,44;0,66;;
17/01/20 01:00;49;25,48;1,72;22,85;0,69;;
17/01/20 02:00;49;22,12;1,46;19,88;0,66;;
17/01/20 03:00;49;16,77;1,25;14,86;0,64;;
17/01/20 04:00;49;14,98;1,16;13,20;0,62;;
17/01/20 05:00;49;14,95;1,15;13,18;0,62;;
17/01/20 06:00;49;26,66;3,84;20,77;;;
17/01/20 07:00;49;30,14;3,87;24,21;0,63;;
17/01/20 08:00;49;52,69;11,44;35,14;0,70;;
17/01/20 09:00;49;53,12;11,61;35,33;0,72;;
17/01/20 10:00;49;48,51;9,91;33,32;0,69;;
17/01/20 11:00;49;60,37;12,99;40,44;0,73;;
17/01/20 12:00;49;53,16;10,28;37,40;0,66;;
17/01/20 13:00;49;46,59;8,41;33,69;0,64;;
17/01/20 14:00;49;54,14;10,70;37,73;0,65;;
17/01/20 15:00;49;66,41;13,03;46,44;0,65;;
17/01/20 16:00;49;89,49;19,20;60,04;0,67;;
17/01/20 17:00;49;78,82;12,60;59,50;0,70;;
17/01/20 18:00;49;85,49;12,63;66,12;0,79;;
17/01/20 19:00;49;145,44;41,32;82,09;0,96;;
17/01/20 20:00;49;149,10;53,58;66,94;1,16;;
17/01/20 21:00;49;95,03;27,20;53,32;1,00;;
17/01/20 22:00;49;74,69;18,50;46,32;0,95;;
17/01/20 23:00;49;71,59;17,34;45,01;0,83;;
18/01/20 00:00;49;37,51;3,56;32,05;0,76;;
18/01/20 01:00;31;32,51;2,96;27,97;0,78;;
18/01/20 02:00;31;18,09;1,76;15,39;0,63;;
18/01/20 03:00;31;15,74;1,52;13,40;0,64;;
18/01/20 04:00;31;15,37;1,66;12,82;0,61;;
18/01/20 05:00;31;12,64;1,43;10,45;0,56;;
18/01/20 06:00;31;39,45;7,04;28,65;0,66;;
18/01/20 07:00;31;57,08;10,64;40,77;0,71;;
18/01/20 08:00;31;109,71;33,55;58,26;0,82;;
18/01/20 09:00;31;54,68;9,83;39,61;0,78;;
18/01/20 10:00;31;62,85;9,96;47,58;0,88;;
18/01/20 11:00;31;73,31;12,63;53,95;0,84;;
18/01/20 12:00;31;34,10;4,23;27,63;0,60;;
18/01/20 13:00;31;;;;0,64;;
18/01/20 14:00;31;54,13;4,72;46,89;0,66;;
18/01/20 15:00;31;50,89;4,23;44,41;0,74;;
18/01/20 16:00;31;61,34;5,41;53,04;0,94;;
18/01/20 17:00;31;46,58;3,97;40,49;0,91;;
18/01/20 18:00;31;41,41;4,03;35,23;0,89;;
18/01/20 19:00;31;43,95;5,11;36,12;0,89;;
18/01/20 20:00;31;71,35;12,49;52,20;0,96;;
18/01/20 21:00;31;65,54;9,02;51,72;1,04;;
18/01/20 22:00;31;56,17;7,95;43,99;0,97;;
18/01/20 23:00;31;43,53;4,91;36,01;0,69;;
19/01/20 00:00;31;26,94;2,42;23,23;0,64;;
19/01/20 01:00;18;18,24;1,72;15,60;0,55;;
19/01/20 02:00;18;21,26;1,60;18,80;0,58;;
19/01/20 03:00;18;19,90;1,56;17,51;0,62;;
19/01/20 04:00;18;14,68;1,31;12,68;;;
19/01/20 05:00;18;14,85;1,26;12,91;0,60;;
19/01/20 06:00;18;13,16;1,25;11,24;0,58;;
19/01/20 07:00;18;14,21;1,34;12,15;0,61;;
19/01/20 08:00;18;17,53;1,88;14,64;0,65;;
19/01/20 09:00;18;23,42;3,41;18,18;0,76;;
19/01/20 10:00;18;29,09;4,81;21,70;0,72;;
19/01/20 11:00;18;25,99;4,19;19,56;0,66;;
19/01/20 12:00;18;26,30;4,11;20,00;0,66;;
19/01/20 13:00;18;25,59;4,24;19,08;0,65;;
19/01/20 14:00;18;25,77;3,98;19,68;0,64;;
19/01/20 15:00;18;17,77;2,43;14,04;0,65;;
19/01/20 16:00;18;16,27;1,87;13,40;0,62;;
19/01/20 17:00;18;23,95;2,10;20,73;0,64;;
19/01/20 18:00;18;27,65;2,21;24,26;0,69;;
19/01/20 19:00;18;32,41;2,23;28,99;0,72;;
19/01/20 20:00;18;33,91;2,76;29,69;0,74;;
19/01/20 21:00;18;24,93;2,06;21,78;0,71;;
19/01/20 22:00;18;26,46;2,18;23,12;0,70;;
19/01/20 23:00;18;21,13;1,58;18,72;0,70;;
20/01/20 00:00;18;20,50;1,56;18,10;0,69;;
20/01/20 01:00;30;16,67;1,87;13,80;0,66;;
20/01/20 02:00;30;11,89;1,26;9,96;0,65;;
20/01/20 03:00;30;10,90;1,18;9,08;;;
20/01/20 04:00;30;12,01;1,23;10,13;0,66;;
20/01/20 05:00;30;15,00;1,39;12,87;0,66;;
20/01/20 06:00;30;16,93;1,79;14,18;0,65;;
20/01/20 07:00;30;42,31;8,00;30,05;0,69;;
20/01/20 08:00;30;;;;0,77;;
20/01/20 09:00;30;67,27;17,61;40,26;0,86;;
20/01/20 10:00;30;68,12;18,39;39,91;0,84;;
20/01/20 11:00;30;59,48;14,28;37,58;0,77;;
20/01/20 12:00;30;64,99;16,21;40,13;0,73;;
20/01/20 13:00;30;68,03;15,41;44,40;0,70;;
