ts;Station;CO;PM10;PM2.5;NO;NOx;NO2;NO3;O3;BENZENE
01/01/20 01:00;Barletta - Casardi;;35;28;9.75;50.51;35.57;;30.01;0.71
01/01/20 02:00;Barletta - Casardi;;35;28;1.37;27.66;25.56;;42.03;0.77
01/01/20 03:00;Barletta - Casardi;;35;28;1.25;28.31;26.38;;43.75;0.59
01/01/20 04:00;Barletta - Casardi;;35;28;0.65;19.88;18.88;;49.51;0.49
01/01/20 05:00;Barletta - Casardi;;35;28;0.46;11.03;10.33;;57.20;0.39
01/01/20 06:00;Barletta - Casardi;;35;28;0.58;11.25;10.35;;56.17;0.32
01/01/20 07:00;Barletta - Casardi;;35;28;0.45;12.44;11.75;;54.73;0.33
01/01/20 08:00;Barletta - Casardi;;35;28;0.58;13.40;12.53;;54.43;0.34
01/01/20 09:00;Barletta - Casardi;;35;28;1.11;13.49;11.79;;54.99;0.34
01/01/20 10:00;Barletta - Casardi;;35;28;2.29;17.24;13.73;;51.54;0.41
01/01/20 11:00;Barletta - Casardi;;35;28;3.50;20.53;15.17;;47.85;0.55
01/01/20 12:00;Barletta - Casardi;;35;28;3.87;22.54;16.60;;48.81;0.59
01/01/20 13:00;Barletta - Casardi;;35;28;3.31;22.22;17.14;;53.47;0.53
01/01/20 14:00;Barletta - Casardi;;35;28;3.29;22.22;17.17;;56.00;0.52
01/01/20 15:00;Barletta - Casardi;;35;28;1.36;14.73;12.65;;62.92;0.45
01/01/20 16:00;Barletta - Casardi;;35;28;0.59;9.49;8.58;;74.20;0.31
01/01/20 17:00;Barletta - Casardi;;35;28;0.30;7.81;7.33;;75.26;0.20
01/01/20 18:00;Barletta - Casardi;;35;28;0.59;13.18;12.28;;71.93;0.22
01/01/20 19:00;Barletta - Casardi;;35;28;0.74;14.89;13.75;;69.87;0.24
01/01/20 20:00;Barletta - Casardi;;35;28;1.56;30.00;27.61;;45.74;0.30
01/01/20 21:00;Barletta - Casardi;;35;28;2.80;38.39;34.09;;32.76;0.62
01/01/20 22:00;Barletta - Casardi;;35;28;2.46;36.40;32.63;;35.70;0.50
01/01/20 23:00;Barletta - Casardi;;35;28;1.90;30.32;27.41;;36.89;0.49
02/01/20 00:00;Barletta - Casardi;;35;28;1.48;24.73;22.46;;40.43;0.41
02/01/20 01:00;Barletta - Casardi;;30;20;0.82;18.45;17.19;;41.39;0.38
02/01/20 02:00;Barletta - Casardi;;30;20;0.76;14.04;12.87;;42.05;0.46
02/01/20 03:00;Barletta - Casardi;;30;20;;;;;42.15;0.48
02/01/20 04:00;Barletta - Casardi;;30;20;0.69;15.12;14.06;;39.06;0.58
02/01/20 05:00;Barletta - Casardi;;30;20;0.50;11.61;10.85;;;0.56
02/01/20 06:00;Barletta - Casardi;;30;20;1.14;18.10;16.36;;34.50;0.56
02/01/20 07:00;Barletta - Casardi;;30;20;1.85;27.29;24.46;;25.63;0.72
02/01/20 08:00;Barletta - Casardi;;30;20;3.60;35.18;29.67;;20.91;0.76
02/01/20 09:00;Barletta - Casardi;;30;20;9.81;48.53;33.49;;20.26;0.90
02/01/20 10:00;Barletta - Casardi;;30;20;12.16;49.26;30.61;;25.24;1.35
02/01/20 11:00;Barletta - Casardi;;30;20;8.64;39.90;26.65;;35.58;0.97
02/01/20 12:00;Barletta - Casardi;;30;20;5.88;31.77;22.76;;49.58;0.81
02/01/20 13:00;Barletta - Casardi;;30;20;3.12;21.52;16.73;;63.41;0.57
02/01/20 14:00;Barletta - Casardi;;30;20;2.50;19.56;15.71;;67.12;0.49
02/01/20 15:00;Barletta - Casardi;;30;20;1.75;16.57;13.89;;67.86;0.44
02/01/20 16:00;Barletta - Casardi;;30;20;2.60;32.32;28.33;;54.48;0.32
02/01/20 17:00;Barletta - Casardi;;30;20;25.34;113.06;74.20;;10.41;0.62
02/01/20 18:00;Barletta - Casardi;;30;20;52.40;168.87;88.52;;4.26;1.50
02/01/20 19:00;Barletta - Casardi;;30;20;20.53;96.93;65.44;;7.25;1.38
02/01/20 20:00;Barletta - Casardi;;30;20;14.07;79.52;57.94;;9.63;1.08
02/01/20 21:00;Barletta - Casardi;;30;20;10.56;70.20;54.00;;11.78;0.93
02/01/20 22:00;Barletta - Casardi;;30;20;4.72;49.65;42.43;;21.82;0.85
02/01/20 23:00;Barletta - Casardi;;30;20;1.98;32.21;29.18;;33.82;0.72
03/01/20 00:00;Barletta - Casardi;;30;20;1.20;24.48;22.63;;38.80;0.60
03/01/20 01:00;Barletta - Casardi;;26;20;0.89;17.17;15.82;;46.37;0.56
03/01/20 02:00;Barletta - Casardi;;26;20;0.47;12.80;12.06;;49.79;0.45
03/01/20 03:00;Barletta - Casardi;;26;20;0.45;10.64;9.95;;51.37;0.41
03/01/20 04:00;Barletta - Casardi;;26;20;0.51;13.54;12.75;;47.47;0.42
03/01/20 05:00;Barletta - Casardi;;26;20;0.43;11.96;11.32;;48.76;0.38
03/01/20 06:00;Barletta - Casardi;;26;20;0.57;16.95;16.08;;45.55;0.46
03/01/20 07:00;Barletta - Casardi;;26;20;1.86;34.27;31.42;;30.91;0.43
03/01/20 08:00;Barletta - Casardi;;26;20;4.38;50.58;43.86;;19.65;0.70
03/01/20 09:00;Barletta - Casardi;;26;20;20.10;84.39;53.57;;16.19;1.17
03/01/20 10:00;Barletta - Casardi;;26;20;15.33;66.76;43.25;;29.04;2.37
03/01/20 11:00;Barletta - Casardi;;26;20;5.77;32.52;23.67;;46.39;1.14
03/01/20 12:00;Barletta - Casardi;;26;20;7.33;36.61;25.36;;44.38;0.89
03/01/20 13:00;Barletta - Casardi;;26;20;5.64;31.56;22.91;;50.29;0.84
03/01/20 14:00;Barletta - Casardi;;26;20;4.98;33.71;26.07;;55.26;0.69
03/01/20 15:00;Barletta - Casardi;;26;20;3.33;29.84;24.74;;56.50;0.64
03/01/20 16:00;Barletta - Casardi;;26;20;2.35;33.37;29.76;;50.80;0.67
03/01/20 17:00;Barletta - Casardi;;26;20;2.39;51.49;47.83;;31.97;0.74
03/01/20 18:00;Barletta - Casardi;;26;20;9.37;84.82;70.45;;14.03;0.92
03/01/20 19:00;Barletta - Casardi;;26;20;6.83;70.46;59.99;;18.94;1.11
03/01/20 20:00;Barletta - Casardi;;26;20;8.09;73.36;60.94;;18.85;0.92
03/01/20 21:00;Barletta - Casardi;;26;20;5.75;62.94;54.12;;26.06;0.90
03/01/20 22:00;Barletta - Casardi;;26;20;5.12;61.50;53.64;;26.26;0.86
03/01/20 23:00;Barletta - Casardi;;26;20;1.84;39.07;36.24;;38.13;0.77
04/01/20 00:00;Barletta - Casardi;;26;20;1.60;30.64;28.19;;41.40;0.65
04/01/20 01:00;Barletta - Casardi;;29;24;1.01;26.02;24.48;;42.36;0.63
04/01/20 02:00;Barletta - Casardi;;29;24;0.47;20.36;19.64;;44.98;0.64
04/01/20 03:00;Barletta - Casardi;;29;24;;;;;52.28;0.66
04/01/20 04:00;Barletta - Casardi;;29;24;;;;;53.97;0.55
04/01/20 05:00;Barletta - Casardi;;29;24;;;;;;0.73
04/01/20 06:00;Barletta - Casardi;;29;24;;;;;48.16;0.72
04/01/20 07:00;Barletta - Casardi;;29;24;;;;;41.65;0.75
04/01/20 08:00;Barletta - Casardi;;29;24;;;;;35.21;0.79
04/01/20 09:00;Barletta - Casardi;;29;24;;;;;34.22;1.06
04/01/20 10:00;Barletta - Casardi;;29;24;;;;;40.98;1.29
04/01/20 11:00;Barletta - Casardi;;29;24;;;;;49.05;1.05
04/01/20 12:00;Barletta - Casardi;;29;24;;;;;48.55;0.98
04/01/20 13:00;Barletta - Casardi;;29;24;;;;;44.87;0.86
04/01/20 14:00;Barletta - Casardi;;29;24;;;;;49.45;1.05
04/01/20 15:00;Barletta - Casardi;;29;24;;;;;50.46;0.61
04/01/20 16:00;Barletta - Casardi;;29;24;;;;;50.61;0.52
04/01/20 17:00;Barletta - Casardi;;29;24;;;;;31.50;0.56
04/01/20 18:00;Barletta - Casardi;;29;24;;;;;19.11;0.74
04/01/20 19:00;Barletta - Casardi;;29;24;;;;;17.98;0.97
04/01/20 20:00;Barletta - Casardi;;29;24;;;;;15.12;0.95
04/01/20 21:00;Barletta - Casardi;;29;24;;;;;10.13;0.84
04/01/20 22:00;Barletta - Casardi;;29;24;;;;;14.75;1.01
04/01/20 23:00;Barletta - Casardi;;29;24;;;;;26.66;0.73
05/01/20 00:00;Barletta - Casardi;;29;24;;;;;30.96;0.68
05/01/20 01:00;Barletta - Casardi;;22;12;;;;;38.15;0.54
05/01/20 02:00;Barletta - Casardi;;22;12;;;;;35.82;0.50
05/01/20 03:00;Barletta - Casardi;;22;12;;;;;36.52;0.44
05/01/20 04:00;Barletta - Casardi;;22;12;;;;;38.75;0.43
05/01/20 05:00;Barletta - Casardi;;22;12;;;;;40.31;0.41
05/01/20 06:00;Barletta - Casardi;;22;12;;;;;34.81;0.43
05/01/20 07:00;Barletta - Casardi;;22;12;;;;;31.23;0.51
05/01/20 08:00;Barletta - Casardi;;22;12;;;;;32.09;0.83
05/01/20 09:00;Barletta - Casardi;;22;12;;;;;66.25;0.80
05/01/20 10:00;Barletta - Casardi;;22;12;;;;;66.33;0.30
05/01/20 11:00;Barletta - Casardi;;22;12;;;;;64.87;0.25
05/01/20 12:00;Barletta - Casardi;;22;12;;;;;68.70;0.28
05/01/20 13:00;Barletta - Casardi;;22;12;;;;;68.38;0.29
05/01/20 14:00;Barletta - Casardi;;22;12;;;;;72.37;0.33
05/01/20 15:00;Barletta - Casardi;;22;12;;;;;77.32;0.24
05/01/20 16:00;Barletta - Casardi;;22;12;;;;;76.71;0.18
05/01/20 17:00;Barletta - Casardi;;22;12;;;;;75.34;0.18
05/01/20 18:00;Barletta - Casardi;;22;12;;;;;72.20;0.19
05/01/20 19:00;Barletta - Casardi;;22;12;;;;;70.90;0.20
05/01/20 20:00;Barletta - Casardi;;22;12;;;;;70.63;0.20
05/01/20 21:00;Barletta - Casardi;;22;12;;;;;68.70;0.22
05/01/20 22:00;Barletta - Casardi;;22;12;;;;;68.42;0.21
05/01/20 23:00;Barletta - Casardi;;22;12;;;;;68.74;0.22
06/01/20 00:00;Barletta - Casardi;;22;12;;;;;71.14;0.21
06/01/20 01:00;Barletta - Casardi;;17;5;;;;;70.34;0.20
06/01/20 02:00;Barletta - Casardi;;17;5;;;;;70.92;0.20
06/01/20 03:00;Barletta - Casardi;;17;5;;;;;69.81;0.20
06/01/20 04:00;Barletta - Casardi;;17;5;;;;;69.75;0.20
06/01/20 05:00;Barletta - Casardi;;17;5;;;;;;0.20
06/01/20 06:00;Barletta - Casardi;;17;5;;;;;69.62;0.19
06/01/20 07:00;Barletta - Casardi;;17;5;;;;;69.31;0.19
06/01/20 08:00;Barletta - Casardi;;17;5;;;;;68.71;0.22
06/01/20 09:00;Barletta - Casardi;;17;5;;;;;66.72;0.22
06/01/20 10:00;Barletta - Casardi;;17;5;;;;;65.32;0.25
06/01/20 11:00;Barletta - Casardi;;17;5;;;;;63.68;0.27
06/01/20 12:00;Barletta - Casardi;;17;5;;;;;63.57;0.27
06/01/20 13:00;Barletta - Casardi;;17;5;;;;;63.67;0.30
06/01/20 14:00;Barletta - Casardi;;17;5;;;;;66.16;0.31
06/01/20 15:00;Barletta - Casardi;;17;5;;;;;69.72;0.27
06/01/20 16:00;Barletta - Casardi;;17;5;;;;;70.93;0.26
06/01/20 17:00;Barletta - Casardi;;17;5;;;;;71.11;0.26
06/01/20 18:00;Barletta - Casardi;;17;5;;;;;70.84;0.27
06/01/20 19:00;Barletta - Casardi;;17;5;;;;;66.33;0.31
06/01/20 20:00;Barletta - Casardi;;17;5;;;;;66.84;0.31
06/01/20 21:00;Barletta - Casardi;;17;5;;;;;68.63;0.30
06/01/20 22:00;Barletta - Casardi;;17;5;;;;;69.22;0.31
06/01/20 23:00;Barletta - Casardi;;17;5;;;;;39.86;0.34
07/01/20 00:00;Barletta - Casardi;;17;5;;;;;38.72;0.42
07/01/20 01:00;Barletta - Casardi;;18;11;;;;;43.84;0.34
07/01/20 02:00;Barletta - Casardi;;18;11;;;;;45.38;0.34
07/01/20 03:00;Barletta - Casardi;;18;11;;;;;50.36;0.46
07/01/20 04:00;Barletta - Casardi;;18;11;;;;;51.90;0.45
07/01/20 05:00;Barletta - Casardi;;18;11;;;;;53.65;0.34
07/01/20 06:00;Barletta - Casardi;;18;11;;;;;46.70;0.34
07/01/20 07:00;Barletta - Casardi;;18;11;;;;;35.66;0.44
07/01/20 08:00;Barletta - Casardi;;18;11;;;;;29.93;0.52
07/01/20 09:00;Barletta - Casardi;;18;11;;;;;25.85;0.95
07/01/20 10:00;Barletta - Casardi;;18;11;;;;;39.93;0.79
07/01/20 11:00;Barletta - Casardi;;18;11;5.65;31.44;22.77;;45.93;0.62
07/01/20 12:00;Barletta - Casardi;;18;11;5.08;28.94;21.15;;50.23;0.60
07/01/20 13:00;Barletta - Casardi;;18;11;3.21;21.88;16.96;;60.17;0.53
07/01/20 14:00;Barletta - Casardi;;18;11;2.65;21.56;17.48;;62.29;0.42
07/01/20 15:00;Barletta - Casardi;;18;11;1.81;18.81;16.04;;64.47;0.36
07/01/20 16:00;Barletta - Casardi;;18;11;1.58;25.50;23.09;;56.69;0.36
07/01/20 17:00;Barletta - Casardi;;18;11;2.91;51.45;47.00;;31.41;0.50
07/01/20 18:00;Barletta - Casardi;;18;11;12.21;87.05;68.34;;11.11;0.75
07/01/20 19:00;Barletta - Casardi;;18;11;8.31;70.10;57.35;;16.78;1.01
07/01/20 20:00;Barletta - Casardi;;18;11;9.22;69.85;55.72;;16.58;0.94
07/01/20 21:00;Barletta - Casardi;;18;11;8.64;64.59;51.35;;18.44;0.79
07/01/20 22:00;Barletta - Casardi;;18;11;4.92;51.29;43.75;;23.28;0.77
07/01/20 23:00;Barletta - Casardi;;18;11;2.07;33.78;30.59;;33.07;0.65
08/01/20 00:00;Barletta - Casardi;;18;11;0.65;21.14;20.14;;42.01;0.51
08/01/20 01:00;Barletta - Casardi;;27;17;0.34;14.30;13.79;;47.87;0.45
08/01/20 02:00;Barletta - Casardi;;27;17;0.12;10.93;10.77;;48.71;0.43
08/01/20 03:00;Barletta - Casardi;;27;17;;;;;46.54;0.46
08/01/20 04:00;Barletta - Casardi;;27;17;0.13;9.96;9.77;;44.44;0.46
08/01/20 05:00;Barletta - Casardi;;27;17;0.32;11.19;10.70;;;0.48
08/01/20 06:00;Barletta - Casardi;;27;17;0.34;14.28;13.79;;35.71;0.51
08/01/20 07:00;Barletta - Casardi;;27;17;0.91;22.44;21.05;;30.89;0.55
08/01/20 08:00;Barletta - Casardi;;27;17;4.33;40.16;33.52;;20.89;0.59
08/01/20 09:00;Barletta - Casardi;;27;17;12.63;57.93;38.56;;19.45;1.04
08/01/20 10:00;Barletta - Casardi;;27;17;12.68;53.50;34.05;;28.32;1.08
08/01/20 11:00;Barletta - Casardi;;27;17;8.77;40.83;27.39;;36.55;0.86
08/01/20 12:00;Barletta - Casardi;;27;17;5.88;31.73;22.71;;52.57;0.71
08/01/20 13:00;Barletta - Casardi;;27;17;3.62;25.86;20.30;;65.38;0.37
08/01/20 14:00;Barletta - Casardi;;27;17;3.35;26.55;21.41;;66.64;0.37
08/01/20 15:00;Barletta - Casardi;;27;17;1.94;21.08;18.08;;68.46;0.29
08/01/20 16:00;Barletta - Casardi;;27;17;1.55;26.46;24.09;;62.71;0.29
08/01/20 17:00;Barletta - Casardi;;27;17;5.27;64.18;56.13;;30.51;0.47
08/01/20 18:00;Barletta - Casardi;;27;17;62.85;191.69;95.31;;4.31;1.16
08/01/20 19:00;Barletta - Casardi;;27;17;19.75;94.62;64.32;;7.76;1.65
08/01/20 20:00;Barletta - Casardi;;27;17;11.97;69.12;50.78;;11.14;0.95
08/01/20 21:00;Barletta - Casardi;;27;17;10.63;63.33;47.03;;12.73;0.96
08/01/20 22:00;Barletta - Casardi;;27;17;6.53;51.56;41.55;;16.43;0.92
08/01/20 23:00;Barletta - Casardi;;27;17;2.24;34.03;30.60;;27.40;0.88
09/01/20 00:00;Barletta - Casardi;;27;17;1.09;25.84;24.18;;35.25;0.69
09/01/20 01:00;Barletta - Casardi;;29;21;0.37;18.04;17.48;;43.62;0.62
09/01/20 02:00;Barletta - Casardi;;29;21;0.30;13.70;13.24;;46.36;0.56
09/01/20 03:00;Barletta - Casardi;;29;21;0.23;11.69;11.35;;48.57;0.64
09/01/20 04:00;Barletta - Casardi;;29;21;0.21;11.34;11.06;;49.38;0.64
09/01/20 05:00;Barletta - Casardi;;29;21;0.03;9.23;9.24;;49.84;0.46
09/01/20 06:00;Barletta - Casardi;;29;21;0.67;18.35;17.33;;40.93;0.44
09/01/20 07:00;Barletta - Casardi;;29;21;0.78;26.01;24.81;;34.02;0.55
09/01/20 08:00;Barletta - Casardi;;29;21;3.33;41.81;36.70;;24.44;0.55
09/01/20 09:00;Barletta - Casardi;;29;21;7.38;51.01;39.68;;25.52;0.93
09/01/20 10:00;Barletta - Casardi;;29;21;8.00;46.94;34.67;;33.29;1.32
09/01/20 11:00;Barletta - Casardi;;29;21;4.30;27.97;21.37;;49.82;0.98
09/01/20 12:00;Barletta - Casardi;;29;21;5.28;29.66;21.57;;46.87;0.75
09/01/20 13:00;Barletta - Casardi;;29;21;3.69;25.17;19.51;;55.58;0.66
09/01/20 14:00;Barletta - Casardi;;29;21;3.25;24.40;19.43;;62.91;0.51
09/01/20 15:00;Barletta - Casardi;;29;21;2.51;24.93;21.09;;64.93;0.42
09/01/20 16:00;Barletta - Casardi;;29;21;1.84;25.07;22.25;;66.55;0.38
09/01/20 17:00;Barletta - Casardi;;29;21;5.91;60.13;51.07;;34.66;0.38
09/01/20 18:00;Barletta - Casardi;;29;21;45.22;161.08;91.73;;4.38;1.14
09/01/20 19:00;Barletta - Casardi;;29;21;94.86;246.10;100.66;;4.45;1.35
09/01/20 20:00;Barletta - Casardi;;29;21;54.00;167.07;84.26;;5.29;2.17
09/01/20 21:00;Barletta - Casardi;;29;21;25.45;105.37;66.35;;8.15;1.55
09/01/20 22:00;Barletta - Casardi;;29;21;9.98;69.96;54.67;;15.16;0.91
09/01/20 23:00;Barletta - Casardi;;29;21;2.15;37.90;34.60;;34.64;0.65
10/01/20 00:00;Barletta - Casardi;;29;21;1.82;29.90;27.10;;40.27;0.50
10/01/20 01:00;Barletta - Casardi;;42;34;0.55;20.37;19.52;;43.84;0.43
10/01/20 02:00;Barletta - Casardi;;42;34;0.29;22.61;22.16;;37.79;0.49
10/01/20 03:00;Barletta - Casardi;;42;34;;;;;30.15;0.72
10/01/20 04:00;Barletta - Casardi;;42;34;0.45;22.02;21.33;;35.95;0.95
10/01/20 05:00;Barletta - Casardi;;42;34;0.49;22.22;21.46;;;0.76
10/01/20 06:00;Barletta - Casardi;;42;34;1.06;30.45;28.83;;26.86;0.81
10/01/20 07:00;Barletta - Casardi;;42;34;8.41;64.82;51.92;;10.77;1.21
10/01/20 08:00;Barletta - Casardi;;42;34;16.27;88.54;63.60;;8.69;1.38
10/01/20 09:00;Barletta - Casardi;;42;34;33.21;119.33;68.41;;12.15;1.81
10/01/20 10:00;Barletta - Casardi;;42;34;21.54;91.58;58.54;;23.47;1.97
10/01/20 11:00;Barletta - Casardi;;42;34;15.09;67.67;44.52;;36.32;1.81
10/01/20 12:00;Barletta - Casardi;;42;34;6.11;38.30;28.92;;50.96;0.96
10/01/20 13:00;Barletta - Casardi;;42;34;4.82;33.12;25.72;;54.25;0.78
10/01/20 14:00;Barletta - Casardi;;42;34;3.12;25.32;20.52;;61.70;0.69
10/01/20 15:00;Barletta - Casardi;;42;34;2.84;24.27;19.91;;58.16;0.55
10/01/20 16:00;Barletta - Casardi;;42;34;2.60;30.13;26.14;;56.64;0.51
10/01/20 17:00;Barletta - Casardi;;42;34;2.54;45.25;41.34;;44.49;0.59
10/01/20 18:00;Barletta - Casardi;;42;34;24.33;117.70;80.41;;9.34;0.96
10/01/20 19:00;Barletta - Casardi;;42;34;18.56;101.00;72.54;;9.31;1.36
10/01/20 20:00;Barletta - Casardi;;42;34;14.65;86.93;64.46;;9.54;1.15
10/01/20 21:00;Barletta - Casardi;;42;34;9.88;72.36;57.21;;16.02;1.20
10/01/20 22:00;Barletta - Casardi;;42;34;3.97;51.65;45.57;;27.23;0.98
10/01/20 23:00;Barletta - Casardi;;42;34;1.68;34.82;32.24;;39.09;0.81
11/01/20 00:00;Barletta - Casardi;;42;34;1.12;30.29;28.57;;35.23;0.74
11/01/20 01:00;Barletta - Casardi;;37;31;0.47;18.62;17.90;;43.73;0.70
11/01/20 02:00;Barletta - Casardi;;37;31;0.35;14.63;14.10;;43.66;0.68
11/01/20 03:00;Barletta - Casardi;;37;31;0.57;15.16;14.28;;42.36;0.72
11/01/20 04:00;Barletta - Casardi;;37;31;0.53;13.58;12.77;;42.39;0.86
11/01/20 05:00;Barletta - Casardi;;37;31;0.12;10.28;10.12;;54.71;0.65
11/01/20 06:00;Barletta - Casardi;;37;31;0.42;13.04;12.38;;57.21;0.44
11/01/20 07:00;Barletta - Casardi;;37;31;0.94;24.89;23.45;;47.51;0.42
11/01/20 08:00;Barletta - Casardi;;37;31;1.64;32.94;30.41;;44.04;0.71
11/01/20 09:00;Barletta - Casardi;;37;31;6.13;48.02;38.62;;37.64;1.05
11/01/20 10:00;Barletta - Casardi;;37;31;5.58;38.23;29.67;;48.19;0.99
11/01/20 11:00;Barletta - Casardi;;37;31;4.58;31.63;24.61;;57.06;0.71
11/01/20 12:00;Barletta - Casardi;;37;31;4.64;30.35;23.24;;57.84;0.73
11/01/20 13:00;Barletta - Casardi;;37;31;3.87;27.12;21.18;;62.48;0.61
11/01/20 14:00;Barletta - Casardi;;37;31;3.86;30.59;24.67;;62.16;0.51
11/01/20 15:00;Barletta - Casardi;;37;31;1.46;24.33;22.09;;62.57;0.46
11/01/20 16:00;Barletta - Casardi;;37;31;1.10;31.52;29.84;;50.12;0.81
11/01/20 17:00;Barletta - Casardi;;37;31;2.63;54.35;50.31;;27.49;0.66
11/01/20 18:00;Barletta - Casardi;;37;31;11.25;77.86;60.61;;8.39;0.76
11/01/20 19:00;Barletta - Casardi;;37;31;11.36;73.27;55.86;;8.99;1.16
11/01/20 20:00;Barletta - Casardi;;37;31;12.17;72.18;53.51;;8.34;1.16
11/01/20 21:00;Barletta - Casardi;;37;31;17.09;81.65;55.45;;6.29;1.41
11/01/20 22:00;Barletta - Casardi;;37;31;12.70;73.56;54.08;;7.09;1.32
11/01/20 23:00;Barletta - Casardi;;37;31;6.58;60.00;49.91;;8.73;1.18
12/01/20 00:00;Barletta - Casardi;;37;31;4.09;48.42;42.15;;12.76;1.06
12/01/20 01:00;Barletta - Casardi;;38;31;2.60;41.50;37.50;;14.99;1.03
12/01/20 02:00;Barletta - Casardi;;38;31;1.38;34.14;32.01;;18.40;0.93
12/01/20 03:00;Barletta - Casardi;;38;31;;;;;20.07;0.89
12/01/20 04:00;Barletta - Casardi;;38;31;0.93;26.48;25.03;;22.71;0.84
12/01/20 05:00;Barletta - Casardi;;38;31;0.55;22.63;21.78;;;0.79
12/01/20 06:00;Barletta - Casardi;;38;31;0.75;21.04;19.90;;25.99;0.74
12/01/20 07:00;Barletta - Casardi;;38;31;0.99;22.70;21.19;;24.93;0.70
12/01/20 08:00;Barletta - Casardi;;38;31;2.15;27.64;24.33;;22.40;0.70
12/01/20 09:00;Barletta - Casardi;;38;31;4.55;32.26;25.28;;23.84;0.84
12/01/20 10:00;Barletta - Casardi;;38;31;6.42;34.28;24.43;;32.15;0.95
12/01/20 11:00;Barletta - Casardi;;38;31;5.48;29.34;20.94;;38.15;1.09
12/01/20 12:00;Barletta - Casardi;;38;31;4.58;27.09;20.08;;40.81;0.77
12/01/20 13:00;Barletta - Casardi;;38;31;4.73;34.13;26.88;;38.71;0.72
12/01/20 14:00;Barletta - Casardi;;38;31;4.67;29.25;22.10;;46.95;0.68
12/01/20 15:00;Barletta - Casardi;;38;31;1.86;23.20;20.33;;52.35;0.64
12/01/20 16:00;Barletta - Casardi;;38;31;0.87;16.15;14.82;;62.76;0.43
12/01/20 17:00;Barletta - Casardi;;38;31;0.63;14.91;13.94;;65.69;0.26
12/01/20 18:00;Barletta - Casardi;;38;31;0.79;16.95;15.74;;62.31;0.30
12/01/20 19:00;Barletta - Casardi;;38;31;1.10;27.04;25.34;;52.36;0.38
12/01/20 20:00;Barletta - Casardi;;38;31;1.66;35.98;33.45;;39.51;0.49
12/01/20 21:00;Barletta - Casardi;;38;31;2.52;39.88;36.02;;34.49;0.55
12/01/20 22:00;Barletta - Casardi;;38;31;2.16;46.22;42.90;;29.37;0.57
12/01/20 23:00;Barletta - Casardi;;38;31;1.39;32.76;30.62;;34.11;0.56
13/01/20 00:00;Barletta - Casardi;;38;31;0.89;25.25;23.89;;38.66;0.49
13/01/20 01:00;Barletta - Casardi;;24;18;0.43;16.22;15.57;;44.89;0.43
13/01/20 02:00;Barletta - Casardi;;24;18;0.28;11.17;10.74;;48.38;0.36
13/01/20 03:00;Barletta - Casardi;;24;18;0.86;13.05;11.75;;47.32;0.35
13/01/20 04:00;Barletta - Casardi;;24;18;0.24;8.67;8.29;;51.47;0.37
13/01/20 05:00;Barletta - Casardi;;24;18;0.20;8.34;8.03;;50.73;0.35
13/01/20 06:00;Barletta - Casardi;;24;18;0.46;14.71;14.00;;44.46;0.29
13/01/20 07:00;Barletta - Casardi;;24;18;1.17;25.84;24.04;;34.14;0.39
13/01/20 08:00;Barletta - Casardi;;24;18;4.49;46.56;39.67;;20.58;0.60
13/01/20 09:00;Barletta - Casardi;;24;18;13.92;68.92;47.58;;14.91;1.11
13/01/20 10:00;Barletta - Casardi;;24;18;15.63;69.55;45.58;;18.97;1.41
13/01/20 11:00;Barletta - Casardi;;24;18;9.68;45.66;30.81;;37.69;1.08
13/01/20 12:00;Barletta - Casardi;;24;18;5.30;29.35;21.21;;50.49;0.69
13/01/20 13:00;Barletta - Casardi;;24;18;3.23;22.41;17.46;;53.76;0.41
13/01/20 14:00;Barletta - Casardi;;24;18;2.45;20.01;16.25;;63.52;0.57
13/01/20 15:00;Barletta - Casardi;;24;18;1.77;18.22;15.51;;65.81;0.36
13/01/20 16:00;Barletta - Casardi;;24;18;1.82;23.53;20.74;;61.07;0.32
13/01/20 17:00;Barletta - Casardi;;24;18;1.57;31.92;29.50;;47.47;0.38
13/01/20 18:00;Barletta - Casardi;;24;18;26.33;122.30;81.94;;7.07;0.50
13/01/20 19:00;Barletta - Casardi;;24;18;85.72;223.96;92.52;;4.32;1.01
13/01/20 20:00;Barletta - Casardi;;24;18;65.58;178.30;77.75;;4.11;1.77
13/01/20 21:00;Barletta - Casardi;;24;18;34.84;120.24;66.83;;4.10;1.65
13/01/20 22:00;Barletta - Casardi;;24;18;20.28;90.00;58.90;;7.34;1.62
13/01/20 23:00;Barletta - Casardi;;24;18;4.20;41.09;34.65;;19.09;0.89
14/01/20 00:00;Barletta - Casardi;;24;18;1.54;26.53;24.17;;25.94;0.50
14/01/20 01:00;Barletta - Casardi;;39;32;0.98;24.66;23.15;;26.87;0.51
14/01/20 02:00;Barletta - Casardi;;39;32;1.04;23.00;21.40;;21.49;0.67
14/01/20 03:00;Barletta - Casardi;;39;32;;;;;21.87;0.72
14/01/20 04:00;Barletta - Casardi;;39;32;0.33;12.24;11.72;;27.45;0.52
14/01/20 05:00;Barletta - Casardi;;39;32;0.69;14.32;13.25;;;0.45
14/01/20 06:00;Barletta - Casardi;;39;32;1.61;26.04;23.58;;22.81;0.42
14/01/20 07:00;Barletta - Casardi;;39;32;8.99;58.56;44.79;;7.82;0.55
14/01/20 08:00;Barletta - Casardi;;39;32;32.77;105.72;55.48;;4.27;1.00
